,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.828,0.452,0.923,0.966,0.091,0.04,1,2
KMeans,3.265,0.12,0.559,0.904,0.029,0.038,1,2
KMeans,0.159,0.089,0.938,0.966,0.939,0.967,1,2
KMeans,0.666,0.411,0.938,0.966,0.091,0.05,1,2
KMeans,2.502,0.092,0.545,0.918,0.027,0.046,1,2
KMeans,1.807,0.914,0.935,0.966,0.061,0.905,1,2
KMeans,0.674,0.452,0.935,0.966,0.182,0.095,1,2
specteral,0.351,0.012,0.536,0.955,0.023,0.032,1,2
specteral,0.221,0.122,0.9,0.966,0.903,0.969,1,2
specteral,1.156,0.406,0.9,0.966,0.182,0.062,1,2
specteral,0.055,0.018,0.439,0.941,0.002,0.013,1,2
specteral,0.255,0.139,0.88,0.966,0.884,0.97,1,2
specteral,1.434,0.471,0.88,0.966,0.227,0.064,1,2
specteral,0.043,0.021,0.461,0.954,0.003,0.015,1,2
specteral,1.702,0.874,0.883,0.966,0.108,0.895,1,2
specteral,1.388,0.479,0.883,0.966,0.364,0.105,1,2
affinity,0.089,0.009,0.525,0.932,0.011,0.042,1,2
affinity,0.162,0.094,0.934,0.966,0.935,0.967,1,2
affinity,0.697,0.46,0.934,0.966,0.091,0.047,1,2
affinity,0.071,0.015,0.606,0.94,0.004,0.024,1,2
affinity,0.147,0.086,0.935,0.966,0.939,0.97,1,2
affinity,0.634,0.367,0.935,0.966,0.182,0.095,1,2
affinity,0.08,0.012,0.579,0.926,0.01,0.042,1,2
affinity,1.798,0.908,0.932,0.966,0.065,0.932,1,2
affinity,0.741,0.43,0.932,0.966,0.136,0.068,1,2
KMeans,0.321,0.026,0.424,0.954,0.032,0.04,2,2
KMeans,0.19,0.099,0.919,0.976,0.92,0.978,2,2
KMeans,1.414,0.594,0.919,0.976,0.125,0.036,2,2
KMeans,0.621,0.038,0.394,0.951,0.029,0.036,2,2
KMeans,0.175,0.096,0.928,0.976,0.926,0.975,2,2
KMeans,1.232,0.609,0.928,0.976,0.0,0.0,2,2
KMeans,2.165,0.082,0.447,0.96,0.043,0.065,2,2
KMeans,1.804,0.907,0.925,0.976,0.074,0.961,2,2
KMeans,1.305,0.574,0.925,0.976,0.125,0.039,2,2
specteral,0.315,0.006,0.335,0.974,0.02,0.027,2,2
specteral,0.272,0.147,0.865,0.976,0.867,0.98,2,2
specteral,2.571,0.621,0.865,0.976,0.25,0.043,2,2
specteral,0.418,0.012,0.321,0.971,0.017,0.023,2,2
specteral,0.281,0.149,0.866,0.976,0.867,0.978,2,2
specteral,2.54,0.612,0.866,0.976,0.188,0.033,2,2
specteral,0.315,0.006,0.329,0.979,0.022,0.022,2,2
specteral,1.672,0.847,0.859,0.976,0.139,0.958,2,2
specteral,2.695,0.626,0.859,0.976,0.25,0.042,2,2
affinity,0.224,0.003,0.451,0.96,0.019,0.047,2,2
affinity,0.14,0.075,0.937,0.976,0.941,0.981,2,2
affinity,0.977,0.532,0.937,0.976,0.25,0.093,2,2
affinity,0.15,0.003,0.421,0.968,0.048,0.047,2,2
affinity,0.149,0.081,0.931,0.976,0.935,0.981,2,2
affinity,1.117,0.576,0.931,0.976,0.25,0.085,2,2
affinity,0.15,0.003,0.444,0.966,0.058,0.051,2,2
affinity,1.822,0.924,0.932,0.976,0.062,0.891,2,2
affinity,1.108,0.567,0.932,0.976,0.312,0.109,2,2
KMeans,0.21,0.002,0.73,0.877,0.206,0.219,3,2
KMeans,0.163,0.095,0.937,0.957,0.94,0.96,3,2
KMeans,0.506,0.339,0.937,0.957,0.125,0.086,3,2
KMeans,0.045,0.002,0.733,0.916,0.165,0.158,3,2
KMeans,0.163,0.091,0.937,0.957,0.942,0.962,3,2
KMeans,0.444,0.303,0.937,0.957,0.167,0.114,3,2
KMeans,0.682,0.032,0.778,0.868,0.049,0.053,3,2
KMeans,1.801,0.918,0.943,0.957,0.05,0.844,3,2
KMeans,0.541,0.332,0.943,0.957,0.208,0.156,3,2
specteral,0.242,0.026,0.549,0.941,0.002,0.015,3,2
specteral,0.224,0.122,0.882,0.957,0.897,0.974,3,2
specteral,1.033,0.42,0.882,0.957,0.458,0.167,3,2
specteral,0.188,0.015,0.601,0.936,0.017,0.032,3,2
specteral,0.206,0.122,0.893,0.957,0.903,0.968,3,2
specteral,0.923,0.363,0.893,0.957,0.333,0.133,3,2
specteral,0.03,0.0,0.558,0.928,0.069,0.075,3,2
specteral,1.694,0.882,0.889,0.957,0.097,0.839,3,2
specteral,1.026,0.429,0.889,0.957,0.417,0.161,3,2
affinity,0.682,0.032,0.785,0.877,0.192,0.163,3,2
affinity,0.12,0.07,0.955,0.957,0.963,0.964,3,2
affinity,0.375,0.283,0.955,0.957,0.208,0.2,3,2
affinity,0.17,0.015,0.782,0.912,0.204,0.217,3,2
affinity,0.145,0.082,0.943,0.957,0.95,0.964,3,2
affinity,0.4,0.265,0.943,0.957,0.208,0.156,3,2
affinity,0.294,0.032,0.699,0.923,0.013,0.036,3,2
affinity,1.783,0.918,0.932,0.957,0.056,0.789,3,2
affinity,0.505,0.31,0.932,0.957,0.333,0.211,3,2
KMeans,0.055,0.008,0.638,0.88,0.075,0.09,4,2
KMeans,0.187,0.104,0.929,0.959,0.93,0.96,4,2
KMeans,0.665,0.429,0.929,0.959,0.095,0.056,4,2
KMeans,1.559,0.094,0.709,0.888,0.112,0.106,4,2
KMeans,0.164,0.093,0.945,0.959,0.945,0.958,4,2
KMeans,0.472,0.346,0.945,0.959,0.048,0.036,4,2
KMeans,1.543,0.094,0.691,0.884,0.042,0.055,4,2
KMeans,1.797,0.907,0.937,0.959,0.06,0.906,4,2
KMeans,0.494,0.336,0.937,0.959,0.143,0.094,4,2
specteral,0.055,0.012,0.482,0.906,0.024,0.032,4,2
specteral,0.25,0.134,0.892,0.959,0.895,0.962,4,2
specteral,1.028,0.551,0.892,0.959,0.19,0.073,4,2
specteral,0.031,0.004,0.506,0.943,0.028,0.036,4,2
specteral,0.274,0.157,0.872,0.959,0.873,0.959,4,2
specteral,1.198,0.479,0.872,0.959,0.143,0.046,4,2
specteral,0.043,0.008,0.565,0.925,0.04,0.044,4,2
specteral,1.71,0.858,0.896,0.959,0.107,0.981,4,2
specteral,0.901,0.449,0.896,0.959,0.048,0.019,4,2
affinity,1.559,0.094,0.671,0.925,0.076,0.064,4,2
affinity,0.156,0.096,0.937,0.959,0.938,0.96,4,2
affinity,0.52,0.368,0.937,0.959,0.095,0.062,4,2
affinity,1.571,0.094,0.673,0.89,0.058,0.066,4,2
affinity,0.144,0.083,0.939,0.959,0.947,0.966,4,2
affinity,0.528,0.376,0.939,0.959,0.238,0.161,4,2
affinity,1.571,0.094,0.642,0.915,0.05,0.057,4,2
affinity,1.777,0.904,0.929,0.959,0.066,0.889,4,2
affinity,0.613,0.396,0.929,0.959,0.19,0.111,4,2
KMeans,1.727,0.036,0.616,0.904,0.102,0.107,5,2
KMeans,0.166,0.095,0.922,0.958,0.932,0.968,5,2
KMeans,0.673,0.369,0.922,0.958,0.304,0.163,5,2
KMeans,1.313,0.0,0.695,0.911,0.046,0.061,5,2
KMeans,0.162,0.091,0.936,0.958,0.941,0.963,5,2
KMeans,0.457,0.328,0.936,0.958,0.174,0.114,5,2
KMeans,1.76,0.011,0.595,0.902,0.072,0.082,5,2
KMeans,1.783,0.913,0.933,0.958,0.059,0.838,5,2
KMeans,0.587,0.412,0.933,0.958,0.261,0.162,5,2
specteral,0.28,0.062,0.565,0.933,0.002,0.017,5,2
specteral,0.235,0.136,0.895,0.958,0.896,0.959,5,2
specteral,0.942,0.423,0.895,0.958,0.13,0.052,5,2
specteral,0.211,0.069,0.475,0.956,0.002,0.016,5,2
specteral,0.246,0.144,0.884,0.958,0.886,0.961,5,2
specteral,1.009,0.479,0.884,0.958,0.174,0.062,5,2
specteral,0.411,0.051,0.542,0.945,0.002,0.016,5,2
specteral,1.685,0.856,0.884,0.958,0.114,0.938,5,2
specteral,1.009,0.417,0.884,0.958,0.174,0.062,5,2
affinity,2.52,0.065,0.656,0.853,0.101,0.098,5,2
affinity,0.137,0.075,0.949,0.958,0.956,0.966,5,2
affinity,0.571,0.443,0.949,0.958,0.217,0.179,5,2
affinity,1.455,0.004,0.64,0.933,0.124,0.122,5,2
affinity,0.14,0.087,0.936,0.958,0.943,0.965,5,2
affinity,0.563,0.384,0.936,0.958,0.217,0.143,5,2
affinity,1.255,0.004,0.615,0.922,0.118,0.116,5,2
affinity,1.78,0.898,0.929,0.958,0.068,0.923,5,2
affinity,0.63,0.419,0.929,0.958,0.13,0.077,5,2
KMeans,0.317,0.018,0.682,0.94,0.017,0.033,6,2
KMeans,0.153,0.087,0.93,0.96,0.939,0.97,6,2
KMeans,0.525,0.311,0.93,0.96,0.286,0.162,6,2
KMeans,1.154,0.02,0.722,0.905,0.198,0.206,6,2
KMeans,0.138,0.076,0.953,0.96,0.957,0.964,6,2
KMeans,0.428,0.306,0.953,0.96,0.143,0.12,6,2
KMeans,0.572,0.003,0.681,0.926,0.098,0.099,6,2
KMeans,1.805,0.917,0.941,0.96,0.053,0.871,6,2
KMeans,0.49,0.342,0.941,0.96,0.19,0.129,6,2
specteral,0.191,0.043,0.548,0.96,0.001,0.017,6,2
specteral,0.218,0.125,0.888,0.96,0.898,0.97,6,2
specteral,1.031,0.416,0.888,0.96,0.333,0.119,6,2
specteral,0.176,0.035,0.578,0.958,0.005,0.018,6,2
specteral,0.218,0.129,0.892,0.96,0.898,0.966,6,2
specteral,0.983,0.385,0.892,0.96,0.238,0.088,6,2
specteral,0.146,0.05,0.607,0.919,0.002,0.021,6,2
specteral,1.741,0.892,0.909,0.96,0.083,0.875,6,2
specteral,0.917,0.418,0.909,0.96,0.286,0.125,6,2
affinity,2.418,0.053,0.703,0.826,0.193,0.2,6,2
affinity,0.138,0.074,0.951,0.96,0.957,0.966,6,2
affinity,0.471,0.335,0.951,0.96,0.19,0.154,6,2
affinity,0.521,0.003,0.578,0.904,0.074,0.08,6,2
affinity,0.176,0.093,0.936,0.96,0.939,0.964,6,2
affinity,0.676,0.472,0.936,0.96,0.143,0.088,6,2
affinity,0.559,0.003,0.616,0.932,0.07,0.091,6,2
affinity,1.797,0.917,0.938,0.96,0.055,0.848,6,2
affinity,0.502,0.371,0.938,0.96,0.238,0.152,6,2
KMeans,1.249,0.122,0.646,0.868,0.001,0.027,7,2
KMeans,0.19,0.105,0.929,0.958,0.93,0.959,7,2
KMeans,0.62,0.381,0.929,0.958,0.091,0.054,7,2
KMeans,3.264,0.008,0.694,0.87,0.115,0.117,7,2
KMeans,0.174,0.098,0.941,0.958,0.94,0.957,7,2
KMeans,0.536,0.361,0.941,0.958,0.045,0.032,7,2
KMeans,5.548,0.011,0.723,0.929,0.099,0.1,7,2
KMeans,1.799,0.918,0.941,0.958,0.052,0.839,7,2
KMeans,0.409,0.277,0.941,0.958,0.227,0.161,7,2
specteral,0.226,0.198,0.583,0.939,0.001,0.019,7,2
specteral,0.209,0.126,0.901,0.958,0.904,0.962,7,2
specteral,0.853,0.441,0.901,0.958,0.182,0.077,7,2
specteral,1.061,0.122,0.53,0.918,0.003,0.017,7,2
specteral,0.247,0.134,0.889,0.958,0.894,0.963,7,2
specteral,1.057,0.461,0.889,0.958,0.227,0.086,7,2
specteral,0.425,0.103,0.579,0.943,0.009,0.02,7,2
specteral,1.734,0.883,0.906,0.958,0.088,0.898,7,2
specteral,0.881,0.439,0.906,0.958,0.227,0.102,7,2
affinity,3.042,0.065,0.797,0.864,0.011,0.051,7,2
affinity,0.136,0.075,0.952,0.958,0.958,0.964,7,2
affinity,0.384,0.299,0.952,0.958,0.182,0.16,7,2
