,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.09,0.047,0.971,0.976,0.973,0.979,2,2
affinity,0.563,0.442,0.971,0.976,0.125,0.1,2,2
affinity,3.629,0.109,0.554,0.929,0.097,0.089,2,2
affinity,0.099,0.05,0.965,0.976,0.968,0.98,2,2
affinity,0.551,0.392,0.965,0.976,0.188,0.125,2,2
affinity,1.756,0.065,0.566,0.944,0.184,0.205,2,2
affinity,0.099,0.051,0.96,0.976,0.965,0.982,2,2
affinity,0.587,0.402,0.96,0.976,0.25,0.148,2,2
KMeans,1.53,0.059,0.764,0.844,0.138,0.172,3,2
KMeans,0.152,0.079,0.953,0.957,0.957,0.961,3,2
KMeans,0.501,0.38,0.953,0.957,0.125,0.115,3,2
KMeans,0.614,0.036,0.767,0.873,0.094,0.129,3,2
KMeans,0.152,0.086,0.95,0.957,0.951,0.959,3,2
KMeans,0.442,0.308,0.95,0.957,0.083,0.071,3,2
KMeans,0.492,0.032,0.748,0.835,0.064,0.083,3,2
KMeans,0.145,0.082,0.953,0.957,0.955,0.959,3,2
KMeans,0.512,0.392,0.953,0.957,0.083,0.077,3,2
specteral,1.25,0.042,0.737,0.769,0.174,0.155,3,2
specteral,0.138,0.079,0.961,0.957,0.961,0.957,3,2
specteral,0.51,0.4,0.961,0.957,0.042,0.045,3,2
specteral,1.833,0.068,0.757,0.671,0.044,0.027,3,2
specteral,0.145,0.075,0.964,0.957,0.964,0.957,3,2
specteral,0.607,0.476,0.964,0.957,0.042,0.05,3,2
specteral,1.572,0.055,0.733,0.75,0.206,0.207,3,2
specteral,0.134,0.077,0.959,0.957,0.961,0.959,3,2
specteral,0.552,0.431,0.959,0.957,0.083,0.087,3,2
affinity,1.449,0.059,0.891,0.728,0.04,0.024,3,2
affinity,0.102,0.057,0.975,0.957,0.979,0.961,3,2
affinity,0.439,0.37,0.975,0.957,0.125,0.214,3,2
affinity,0.106,0.009,0.791,0.801,0.087,0.061,3,2
affinity,0.138,0.077,0.962,0.957,0.963,0.957,3,2
affinity,0.441,0.345,0.962,0.957,0.042,0.048,3,2
affinity,0.184,0.015,0.903,0.873,0.093,0.081,3,2
affinity,0.102,0.061,0.964,0.957,0.972,0.965,3,2
affinity,0.276,0.195,0.964,0.957,0.208,0.25,3,2
KMeans,2.244,0.118,0.661,0.823,0.155,0.169,4,2
KMeans,0.176,0.093,0.945,0.959,0.945,0.958,4,2
KMeans,0.558,0.423,0.945,0.959,0.048,0.036,4,2
KMeans,1.5,0.094,0.648,0.821,0.049,0.054,4,2
KMeans,0.16,0.089,0.945,0.959,0.947,0.96,4,2
KMeans,0.542,0.433,0.945,0.959,0.095,0.071,4,2
KMeans,1.559,0.094,0.697,0.811,0.311,0.253,4,2
KMeans,0.124,0.073,0.957,0.959,0.961,0.963,4,2
KMeans,0.504,0.433,0.957,0.959,0.143,0.136,4,2
specteral,2.169,0.114,0.793,0.821,0.222,0.175,4,2
specteral,0.132,0.083,0.959,0.959,0.957,0.957,4,2
specteral,0.452,0.342,0.959,0.959,0.0,0.0,4,2
specteral,1.362,0.09,0.821,0.719,0.048,0.021,4,2
specteral,0.136,0.073,0.969,0.959,0.967,0.957,4,2
specteral,0.502,0.408,0.969,0.959,0.0,0.0,4,2
specteral,8.929,0.247,0.801,0.764,0.099,0.061,4,2
specteral,0.14,0.075,0.963,0.959,0.963,0.959,4,2
specteral,0.496,0.378,0.963,0.959,0.048,0.053,4,2
affinity,5.102,0.235,0.789,0.772,0.045,0.003,4,2
affinity,0.136,0.073,0.969,0.959,0.967,0.957,4,2
affinity,0.452,0.392,0.969,0.959,0.0,0.0,4,2
affinity,1.559,0.094,0.766,0.76,0.153,0.098,4,2
affinity,0.132,0.073,0.965,0.959,0.965,0.959,4,2
affinity,0.556,0.459,0.965,0.959,0.048,0.056,4,2
affinity,1.571,0.094,0.752,0.787,0.128,0.099,4,2
affinity,0.136,0.073,0.961,0.959,0.963,0.961,4,2
affinity,0.5,0.431,0.961,0.959,0.095,0.1,4,2
KMeans,3.135,0.08,0.684,0.88,0.042,0.068,5,2
KMeans,0.148,0.084,0.944,0.958,0.949,0.963,5,2
KMeans,0.491,0.341,0.944,0.958,0.174,0.129,5,2
KMeans,1.455,0.004,0.676,0.816,0.129,0.154,5,2
KMeans,0.155,0.08,0.951,0.958,0.954,0.962,5,2
KMeans,0.582,0.447,0.951,0.958,0.13,0.111,5,2
KMeans,1.055,0.018,0.685,0.887,0.17,0.156,5,2
KMeans,0.137,0.075,0.945,0.958,0.954,0.967,5,2
KMeans,0.519,0.38,0.945,0.958,0.261,0.2,5,2
specteral,0.931,0.014,0.704,0.796,0.251,0.242,5,2
specteral,0.151,0.085,0.949,0.958,0.951,0.96,5,2
specteral,0.533,0.399,0.949,0.958,0.087,0.071,5,2
specteral,1.276,0.0,0.765,0.727,0.126,0.093,5,2
specteral,0.129,0.069,0.962,0.958,0.966,0.962,5,2
specteral,0.526,0.399,0.962,0.958,0.13,0.143,5,2
specteral,0.905,0.014,0.751,0.798,0.084,0.086,5,2
specteral,0.137,0.071,0.96,0.958,0.964,0.962,5,2
specteral,0.506,0.393,0.96,0.958,0.13,0.136,5,2
affinity,5.538,0.127,0.845,0.771,0.042,0.036,5,2
affinity,0.118,0.062,0.973,0.958,0.975,0.961,5,2
affinity,0.439,0.341,0.973,0.958,0.087,0.133,5,2
affinity,2.815,0.065,0.76,0.871,0.239,0.239,5,2
affinity,0.126,0.073,0.958,0.958,0.962,0.962,5,2
affinity,0.409,0.306,0.958,0.958,0.13,0.13,5,2
affinity,3.08,0.069,0.805,0.851,0.079,0.045,5,2
affinity,0.129,0.073,0.962,0.958,0.964,0.96,5,2
affinity,0.439,0.327,0.962,0.958,0.087,0.095,5,2
KMeans,2.272,0.048,0.679,0.832,0.263,0.3,6,2
