,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.837,0.455,0.925,0.959,0.0,0.0,4,2
specteral,0.043,0.008,0.671,0.766,0.047,0.052,4,2
specteral,0.203,0.114,0.911,0.959,0.916,0.963,4,2
specteral,0.885,0.412,0.911,0.959,0.19,0.089,4,2
affinity,0.083,0.012,0.872,0.681,0.276,0.223,4,2
affinity,0.105,0.059,0.967,0.959,0.973,0.965,4,2
affinity,0.379,0.266,0.967,0.959,0.19,0.235,4,2
affinity,0.882,0.067,0.774,0.673,0.147,0.15,4,2
affinity,0.148,0.079,0.959,0.959,0.959,0.959,4,2
affinity,0.605,0.457,0.959,0.959,0.048,0.048,4,2
KMeans,0.353,0.014,0.813,0.658,0.234,0.225,5,2
KMeans,0.111,0.065,0.958,0.958,0.966,0.966,5,2
KMeans,0.439,0.31,0.958,0.958,0.217,0.217,5,2
KMeans,4.295,0.072,0.736,0.789,0.079,0.121,5,2
KMeans,0.126,0.073,0.955,0.958,0.96,0.964,5,2
KMeans,0.476,0.341,0.955,0.958,0.174,0.16,5,2
specteral,0.116,0.083,0.762,0.527,0.003,0.031,5,2
specteral,0.158,0.085,0.942,0.958,0.947,0.963,5,2
specteral,0.742,0.412,0.942,0.958,0.174,0.125,5,2
specteral,0.116,0.083,0.62,0.724,0.003,0.026,5,2
specteral,0.184,0.102,0.929,0.958,0.932,0.961,5,2
specteral,0.864,0.51,0.929,0.958,0.13,0.077,5,2
affinity,0.2,0.062,0.709,0.609,0.052,0.042,5,2
affinity,0.137,0.071,0.956,0.958,0.962,0.964,5,2
affinity,0.643,0.46,0.956,0.958,0.174,0.167,5,2
affinity,0.284,0.047,0.805,0.709,0.057,0.043,5,2
affinity,0.129,0.071,0.96,0.958,0.964,0.962,5,2
affinity,0.498,0.356,0.96,0.958,0.13,0.136,5,2
KMeans,1.524,0.028,0.743,0.773,0.075,0.083,6,2
KMeans,0.123,0.072,0.953,0.96,0.959,0.966,6,2
KMeans,0.521,0.36,0.953,0.96,0.19,0.16,6,2
KMeans,2.088,0.08,0.775,0.817,0.25,0.217,6,2
KMeans,0.123,0.07,0.958,0.96,0.963,0.964,6,2
KMeans,0.366,0.277,0.958,0.96,0.143,0.136,6,2
specteral,0.111,0.045,0.732,0.567,0.007,0.027,6,2
specteral,0.15,0.079,0.93,0.96,0.943,0.974,6,2
specteral,0.88,0.383,0.93,0.96,0.381,0.216,6,2
specteral,0.267,0.028,0.713,0.713,0.008,0.025,6,2
specteral,0.188,0.104,0.924,0.96,0.927,0.963,6,2
specteral,0.777,0.327,0.924,0.96,0.143,0.075,6,2
affinity,0.242,0.033,0.849,0.664,0.056,0.058,6,2
affinity,0.127,0.068,0.96,0.96,0.965,0.965,6,2
affinity,0.428,0.28,0.96,0.96,0.143,0.143,6,2
affinity,0.156,0.033,0.701,0.79,0.015,0.04,6,2
affinity,0.138,0.076,0.953,0.96,0.957,0.964,6,2
affinity,0.616,0.42,0.953,0.96,0.143,0.12,6,2
KMeans,1.808,0.065,0.771,0.815,0.063,0.071,7,2
KMeans,0.125,0.073,0.958,0.958,0.962,0.962,7,2
KMeans,0.474,0.365,0.958,0.958,0.136,0.136,7,2
KMeans,3.195,0.004,0.757,0.837,0.19,0.191,7,2
KMeans,0.125,0.071,0.952,0.958,0.96,0.966,7,2
KMeans,0.436,0.336,0.952,0.958,0.227,0.2,7,2
specteral,0.23,0.195,0.663,0.665,0.001,0.024,7,2
specteral,0.201,0.109,0.922,0.958,0.924,0.961,7,2
specteral,1.008,0.547,0.922,0.958,0.136,0.073,7,2
specteral,0.23,0.195,0.688,0.799,0.001,0.024,7,2
specteral,0.205,0.109,0.922,0.958,0.924,0.961,7,2
specteral,0.89,0.469,0.922,0.958,0.136,0.073,7,2
affinity,0.261,0.191,0.767,0.665,0.045,0.044,7,2
affinity,0.155,0.078,0.956,0.958,0.958,0.96,7,2
affinity,0.671,0.492,0.956,0.958,0.091,0.087,7,2
affinity,0.261,0.191,0.742,0.759,0.001,0.036,7,2
affinity,0.174,0.092,0.946,0.958,0.946,0.958,7,2
affinity,0.685,0.471,0.946,0.958,0.045,0.036,7,2
KMeans,0.09,0.019,0.773,0.662,0.11,0.08,8,2
KMeans,0.112,0.064,0.959,0.957,0.967,0.965,8,2
KMeans,0.442,0.339,0.959,0.957,0.227,0.238,8,2
KMeans,2.805,0.14,0.721,0.855,0.172,0.166,8,2
KMeans,0.139,0.08,0.947,0.957,0.953,0.963,8,2
KMeans,0.422,0.317,0.947,0.957,0.182,0.148,8,2
specteral,0.109,0.023,0.723,0.828,0.037,0.04,8,2
specteral,0.174,0.096,0.936,0.957,0.939,0.96,8,2
specteral,0.69,0.401,0.936,0.957,0.136,0.091,8,2
specteral,0.52,0.062,0.592,0.906,0.032,0.026,8,2
specteral,0.194,0.113,0.914,0.957,0.918,0.962,8,2
specteral,0.824,0.403,0.914,0.957,0.182,0.091,8,2
affinity,0.09,0.019,0.855,0.709,0.197,0.16,8,2
affinity,0.112,0.066,0.961,0.957,0.967,0.963,8,2
affinity,0.424,0.291,0.961,0.957,0.182,0.2,8,2
affinity,0.512,0.054,0.779,0.799,0.202,0.157,8,2
affinity,0.119,0.064,0.959,0.957,0.967,0.965,8,2
affinity,0.454,0.373,0.959,0.957,0.227,0.238,8,2
