,winDiff,pk,coverage,purity,recall,precision,season,episode
specteral,0.125,0.069,0.493,0.922,0.95,0.978,2,2
specteral,0.272,0.147,0.335,0.974,0.867,0.98,2,2
specteral,0.281,0.149,0.321,0.971,0.867,0.978,2,2
specteral,1.672,0.847,0.329,0.979,0.139,0.958,2,2
affinity,0.105,0.057,0.619,0.943,0.964,0.977,2,2
affinity,0.105,0.059,0.562,0.944,0.961,0.979,2,2
affinity,0.102,0.051,0.546,0.932,0.965,0.982,2,2
affinity,0.14,0.075,0.451,0.96,0.941,0.981,2,2
affinity,0.149,0.081,0.421,0.968,0.935,0.981,2,2
affinity,1.822,0.924,0.444,0.966,0.062,0.891,2,2
KMeans,0.134,0.07,0.853,0.805,0.964,0.963,2,3
KMeans,0.152,0.081,0.784,0.832,0.957,0.959,2,3
KMeans,0.149,0.079,0.8,0.798,0.961,0.957,2,3
KMeans,0.163,0.095,0.73,0.877,0.94,0.96,2,3
KMeans,0.163,0.091,0.733,0.916,0.942,0.962,2,3
KMeans,1.801,0.918,0.778,0.868,0.05,0.844,2,3
specteral,0.145,0.079,0.807,0.871,0.955,0.962,2,3
specteral,0.138,0.077,0.839,0.86,0.957,0.962,2,3
specteral,0.142,0.081,0.789,0.853,0.955,0.961,2,3
specteral,0.224,0.122,0.549,0.941,0.897,0.974,2,3
specteral,0.206,0.122,0.601,0.936,0.903,0.968,2,3
specteral,1.694,0.882,0.558,0.928,0.097,0.839,2,3
affinity,0.106,0.057,0.896,0.794,0.978,0.963,2,3
affinity,0.124,0.068,0.792,0.869,0.966,0.963,2,3
affinity,0.12,0.073,0.882,0.884,0.964,0.959,2,3
affinity,0.12,0.07,0.785,0.877,0.963,0.964,2,3
affinity,0.145,0.082,0.782,0.912,0.95,0.964,2,3
affinity,1.783,0.918,0.699,0.923,0.056,0.789,2,3
KMeans,0.148,0.083,0.681,0.864,0.949,0.965,2,4
KMeans,0.12,0.069,0.758,0.856,0.963,0.965,2,4
KMeans,0.128,0.073,0.793,0.846,0.963,0.961,2,4
KMeans,0.187,0.104,0.638,0.88,0.93,0.96,2,4
KMeans,0.164,0.093,0.709,0.888,0.945,0.958,2,4
KMeans,1.797,0.907,0.691,0.884,0.06,0.906,2,4
specteral,0.132,0.073,0.742,0.852,0.957,0.967,2,4
specteral,0.156,0.085,0.673,0.88,0.949,0.962,2,4
specteral,0.132,0.075,0.742,0.829,0.959,0.963,2,4
specteral,0.25,0.134,0.482,0.906,0.895,0.962,2,4
specteral,0.274,0.157,0.506,0.943,0.873,0.959,2,4
specteral,1.71,0.858,0.565,0.925,0.107,0.981,2,4
affinity,0.116,0.065,0.764,0.813,0.967,0.965,2,4
affinity,0.14,0.079,0.811,0.88,0.959,0.959,2,4
affinity,0.136,0.077,0.78,0.85,0.961,0.959,2,4
affinity,0.156,0.096,0.671,0.925,0.938,0.96,2,4
affinity,0.144,0.083,0.673,0.89,0.947,0.966,2,4
affinity,1.777,0.904,0.642,0.915,0.066,0.889,2,4
KMeans,0.126,0.071,0.724,0.882,0.958,0.967,2,5
KMeans,0.129,0.075,0.815,0.911,0.96,0.962,2,5
KMeans,0.107,0.06,0.816,0.902,0.968,0.97,2,5
KMeans,0.166,0.095,0.616,0.904,0.932,0.968,2,5
KMeans,0.162,0.091,0.695,0.911,0.941,0.963,2,5
KMeans,1.783,0.913,0.595,0.902,0.059,0.838,2,5
specteral,0.162,0.089,0.691,0.873,0.949,0.958,2,5
specteral,0.133,0.067,0.725,0.873,0.962,0.968,2,5
specteral,0.144,0.082,0.704,0.88,0.951,0.963,2,5
specteral,0.235,0.136,0.565,0.933,0.896,0.959,2,5
specteral,0.246,0.144,0.475,0.956,0.886,0.961,2,5
specteral,1.685,0.856,0.542,0.945,0.114,0.938,2,5
affinity,0.107,0.064,0.816,0.776,0.972,0.962,2,5
affinity,0.115,0.064,0.827,0.913,0.968,0.966,2,5
affinity,0.126,0.073,0.769,0.815,0.962,0.962,2,5
