,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,3.294,0.103,0.54,0.926,0.104,0.106,2,2
affinity,0.131,0.069,0.949,0.976,0.95,0.978,2,2
affinity,0.898,0.471,0.949,0.976,0.125,0.057,2,2
affinity,0.191,0.006,0.447,0.956,0.021,0.047,2,2
affinity,0.146,0.076,0.938,0.976,0.941,0.98,2,2
affinity,0.985,0.518,0.938,0.976,0.188,0.071,2,2
affinity,0.15,0.003,0.45,0.95,0.051,0.049,2,2
affinity,1.825,0.922,0.934,0.976,0.062,0.911,2,2
affinity,1.093,0.555,0.934,0.976,0.25,0.089,2,2
KMeans,0.261,0.028,0.633,0.88,0.09,0.107,3,2
KMeans,0.203,0.113,0.923,0.957,0.923,0.957,3,2
KMeans,0.675,0.394,0.923,0.957,0.083,0.047,3,2
KMeans,0.089,0.008,0.669,0.86,0.209,0.195,3,2
KMeans,0.167,0.088,0.937,0.957,0.944,0.964,3,2
KMeans,0.554,0.398,0.937,0.957,0.208,0.143,3,2
KMeans,0.125,0.008,0.628,0.886,0.172,0.176,3,2
KMeans,1.78,0.902,0.93,0.957,0.065,0.897,3,2
KMeans,0.6,0.378,0.93,0.957,0.167,0.103,3,2
specteral,0.278,0.023,0.538,0.918,0.049,0.058,3,2
specteral,0.213,0.118,0.896,0.957,0.907,0.968,3,2
specteral,0.973,0.454,0.896,0.957,0.333,0.138,3,2
specteral,0.21,0.002,0.581,0.905,0.072,0.08,3,2
specteral,0.224,0.114,0.9,0.957,0.91,0.968,3,2
specteral,0.907,0.438,0.9,0.957,0.333,0.143,3,2
specteral,0.549,0.081,0.623,0.852,0.025,0.028,3,2
specteral,1.744,0.889,0.914,0.957,0.08,0.896,3,2
specteral,0.993,0.484,0.914,0.957,0.208,0.104,3,2
affinity,0.722,0.036,0.823,0.814,0.083,0.071,3,2
affinity,0.116,0.068,0.961,0.957,0.966,0.963,3,2
affinity,0.42,0.319,0.961,0.957,0.167,0.182,3,2
affinity,0.205,0.023,0.767,0.889,0.01,0.033,3,2
affinity,0.163,0.091,0.941,0.957,0.944,0.96,3,2
affinity,0.479,0.312,0.941,0.957,0.125,0.091,3,2
affinity,0.294,0.032,0.68,0.918,0.024,0.047,3,2
affinity,1.787,0.909,0.934,0.957,0.06,0.865,3,2
affinity,0.444,0.307,0.934,0.957,0.208,0.135,3,2
KMeans,0.071,0.012,0.528,0.878,0.061,0.052,4,2
KMeans,0.219,0.122,0.915,0.959,0.914,0.957,4,2
KMeans,0.859,0.537,0.915,0.959,0.048,0.023,4,2
KMeans,0.957,0.071,0.606,0.888,0.059,0.063,4,2
KMeans,0.199,0.118,0.919,0.959,0.918,0.957,4,2
KMeans,0.776,0.487,0.919,0.959,0.048,0.024,4,2
KMeans,1.047,0.094,0.652,0.864,0.08,0.078,4,2
KMeans,1.793,0.9,0.937,0.959,0.064,0.969,4,2
KMeans,0.625,0.443,0.937,0.959,0.048,0.031,4,2
specteral,0.055,0.012,0.563,0.937,0.021,0.032,4,2
specteral,0.227,0.132,0.894,0.959,0.897,0.963,4,2
specteral,0.958,0.441,0.894,0.959,0.19,0.074,4,2
specteral,0.496,0.047,0.502,0.937,0.044,0.052,4,2
specteral,0.262,0.15,0.884,0.959,0.883,0.958,4,2
specteral,1.062,0.487,0.884,0.959,0.095,0.034,4,2
specteral,0.138,0.02,0.494,0.943,0.045,0.039,4,2
specteral,1.698,0.86,0.89,0.959,0.109,0.946,4,2
specteral,1.03,0.531,0.89,0.959,0.143,0.054,4,2
affinity,1.543,0.094,0.663,0.886,0.051,0.07,4,2
affinity,0.148,0.087,0.943,0.959,0.947,0.962,4,2
affinity,0.54,0.408,0.943,0.959,0.143,0.103,4,2
affinity,1.685,0.098,0.65,0.876,0.08,0.088,4,2
affinity,0.16,0.085,0.941,0.959,0.947,0.964,4,2
affinity,0.514,0.398,0.941,0.959,0.19,0.133,4,2
affinity,1.059,0.075,0.614,0.906,0.062,0.075,4,2
affinity,1.785,0.907,0.933,0.959,0.062,0.882,4,2
affinity,0.625,0.441,0.933,0.959,0.19,0.118,4,2
KMeans,0.811,0.011,0.58,0.922,0.053,0.053,5,2
KMeans,0.202,0.109,0.915,0.958,0.92,0.964,5,2
KMeans,0.714,0.384,0.915,0.958,0.217,0.106,5,2
KMeans,0.367,0.018,0.631,0.915,0.069,0.089,5,2
KMeans,0.184,0.1,0.924,0.958,0.93,0.965,5,2
KMeans,0.606,0.349,0.924,0.958,0.217,0.119,5,2
KMeans,0.785,0.0,0.602,0.876,0.05,0.054,5,2
KMeans,1.772,0.891,0.925,0.958,0.074,0.951,5,2
KMeans,0.632,0.425,0.925,0.958,0.087,0.049,5,2
specteral,0.622,0.033,0.509,0.958,0.004,0.016,5,2
specteral,0.246,0.133,0.884,0.958,0.892,0.967,5,2
specteral,1.004,0.449,0.884,0.958,0.304,0.109,5,2
specteral,0.28,0.062,0.507,0.909,0.007,0.02,5,2
specteral,0.246,0.135,0.889,0.958,0.894,0.963,5,2
specteral,1.011,0.455,0.889,0.958,0.217,0.082,5,2
specteral,0.24,0.058,0.502,0.942,0.005,0.017,5,2
specteral,1.692,0.865,0.885,0.958,0.108,0.905,5,2
specteral,1.039,0.443,0.885,0.958,0.261,0.095,5,2
affinity,2.695,0.069,0.742,0.829,0.35,0.309,5,2
affinity,0.137,0.078,0.956,0.958,0.958,0.96,5,2
affinity,0.5,0.388,0.956,0.958,0.087,0.083,5,2
affinity,0.615,0.004,0.671,0.915,0.116,0.138,5,2
affinity,0.155,0.084,0.936,0.958,0.945,0.967,5,2
affinity,0.584,0.364,0.936,0.958,0.261,0.171,5,2
affinity,1.255,0.004,0.605,0.889,0.127,0.123,5,2
affinity,1.794,0.905,0.936,0.958,0.061,0.914,5,2
affinity,0.625,0.442,0.936,0.958,0.13,0.086,5,2
KMeans,0.128,0.038,0.62,0.932,0.013,0.027,6,2
KMeans,0.188,0.104,0.921,0.96,0.925,0.965,6,2
KMeans,0.692,0.348,0.921,0.96,0.19,0.095,6,2
KMeans,0.406,0.0,0.575,0.932,0.055,0.056,6,2
KMeans,0.165,0.096,0.924,0.96,0.931,0.967,6,2
KMeans,0.684,0.383,0.924,0.96,0.238,0.125,6,2
KMeans,0.542,0.0,0.599,0.892,0.077,0.088,6,2
KMeans,1.786,0.904,0.932,0.96,0.065,0.917,6,2
KMeans,0.696,0.433,0.932,0.96,0.143,0.083,6,2
specteral,0.176,0.035,0.588,0.945,0.006,0.018,6,2
specteral,0.214,0.121,0.896,0.96,0.904,0.968,6,2
specteral,1.021,0.398,0.896,0.96,0.286,0.109,6,2
specteral,0.101,0.035,0.59,0.949,0.007,0.018,6,2
specteral,0.229,0.129,0.892,0.96,0.898,0.966,6,2
specteral,1.066,0.4,0.892,0.96,0.238,0.088,6,2
specteral,0.159,0.03,0.541,0.928,0.019,0.033,6,2
specteral,1.714,0.868,0.896,0.96,0.102,0.945,6,2
specteral,1.093,0.456,0.896,0.96,0.143,0.055,6,2
affinity,3.791,0.07,0.796,0.762,0.078,0.079,6,2
affinity,0.108,0.064,0.964,0.96,0.969,0.965,6,2
affinity,0.428,0.313,0.964,0.96,0.143,0.158,6,2
affinity,0.232,0.008,0.703,0.911,0.045,0.061,6,2
affinity,0.15,0.087,0.941,0.96,0.945,0.964,6,2
affinity,0.506,0.311,0.941,0.96,0.143,0.097,6,2
affinity,0.627,0.003,0.735,0.858,0.106,0.125,6,2
affinity,1.82,0.924,0.949,0.96,0.045,0.852,6,2
affinity,0.44,0.298,0.949,0.96,0.19,0.148,6,2
KMeans,0.241,0.195,0.591,0.87,0.001,0.024,7,2
KMeans,0.201,0.109,0.922,0.958,0.924,0.961,7,2
KMeans,0.718,0.445,0.922,0.958,0.136,0.073,7,2
KMeans,0.697,0.149,0.593,0.857,0.002,0.026,7,2
