,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.592,0.403,0.963,0.976,0.062,0.04,2,2
affinity,0.247,0.009,0.566,0.951,0.155,0.149,2,2
affinity,0.108,0.06,0.957,0.976,0.959,0.978,2,2
affinity,0.589,0.414,0.957,0.976,0.125,0.069,2,2
KMeans,0.222,0.025,0.789,0.871,0.112,0.176,3,2
KMeans,0.149,0.077,0.945,0.957,0.953,0.966,3,2
KMeans,0.413,0.301,0.945,0.957,0.25,0.194,3,2
KMeans,1.015,0.059,0.814,0.832,0.285,0.255,3,2
KMeans,0.149,0.077,0.959,0.957,0.961,0.959,3,2
KMeans,0.441,0.347,0.959,0.957,0.083,0.087,3,2
specteral,0.123,0.009,0.78,0.86,0.084,0.103,3,2
specteral,0.159,0.084,0.948,0.957,0.951,0.96,3,2
specteral,0.484,0.345,0.948,0.957,0.125,0.103,3,2
specteral,0.854,0.045,0.726,0.818,0.058,0.069,3,2
specteral,0.159,0.088,0.952,0.957,0.951,0.957,3,2
specteral,0.466,0.359,0.952,0.957,0.042,0.037,3,2
affinity,0.822,0.038,0.896,0.794,0.04,0.025,3,2
affinity,0.106,0.057,0.971,0.957,0.978,0.963,3,2
affinity,0.388,0.316,0.971,0.957,0.167,0.25,3,2
affinity,0.17,0.015,0.862,0.886,0.313,0.322,3,2
affinity,0.113,0.07,0.959,0.957,0.964,0.963,3,2
affinity,0.34,0.265,0.959,0.957,0.167,0.174,3,2
KMeans,1.571,0.094,0.659,0.878,0.074,0.091,4,2
KMeans,0.176,0.094,0.943,0.959,0.943,0.958,4,2
KMeans,0.528,0.404,0.943,0.959,0.048,0.034,4,2
KMeans,1.543,0.094,0.75,0.898,0.272,0.315,4,2
KMeans,0.12,0.075,0.951,0.959,0.957,0.965,4,2
KMeans,0.415,0.308,0.951,0.959,0.19,0.16,4,2
specteral,2.26,0.149,0.785,0.809,0.139,0.096,4,2
specteral,0.124,0.071,0.963,0.959,0.965,0.961,4,2
specteral,0.409,0.35,0.963,0.959,0.095,0.105,4,2
specteral,1.543,0.094,0.701,0.815,0.32,0.321,4,2
specteral,0.156,0.085,0.953,0.959,0.953,0.959,4,2
