,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.13,0.068,0.848,0.796,0.968,0.962,1,10
KMeans,0.127,0.065,0.863,0.784,0.971,0.962,1,10
KMeans,0.198,0.114,0.613,0.941,0.916,0.964,1,10
KMeans,0.175,0.095,0.703,0.922,0.932,0.968,1,10
KMeans,1.766,0.892,0.648,0.916,0.077,0.943,1,10
specteral,0.112,0.062,0.789,0.823,0.969,0.966,1,10
specteral,0.151,0.081,0.724,0.817,0.955,0.96,1,10
specteral,0.127,0.072,0.793,0.811,0.963,0.962,1,10
specteral,0.21,0.121,0.541,0.957,0.899,0.973,1,10
specteral,0.216,0.129,0.514,0.951,0.897,0.967,1,10
specteral,1.698,0.867,0.53,0.936,0.108,0.921,1,10
affinity,0.112,0.056,0.882,0.586,0.982,0.961,1,10
affinity,0.109,0.061,0.838,0.809,0.972,0.965,1,10
affinity,0.133,0.071,0.743,0.787,0.965,0.962,1,10
affinity,0.112,0.058,0.848,0.703,0.977,0.964,1,10
affinity,0.13,0.068,0.774,0.858,0.963,0.966,1,10
affinity,1.843,0.928,0.703,0.842,0.038,0.926,1,10
KMeans,0.111,0.059,0.763,0.875,0.966,0.973,2,1
KMeans,0.089,0.048,0.804,0.831,0.976,0.975,2,1
KMeans,0.094,0.048,0.768,0.813,0.975,0.976,2,1
KMeans,0.187,0.098,0.592,0.958,0.924,0.973,2,1
KMeans,0.153,0.086,0.53,0.945,0.937,0.974,2,1
KMeans,1.825,0.921,0.568,0.931,0.059,0.922,2,1
specteral,0.094,0.05,0.772,0.856,0.973,0.975,2,1
specteral,0.101,0.054,0.755,0.873,0.97,0.975,2,1
specteral,0.106,0.057,0.753,0.9,0.966,0.976,2,1
specteral,0.15,0.082,0.499,0.961,0.933,0.981,2,1
specteral,0.207,0.112,0.445,0.954,0.908,0.976,2,1
specteral,1.761,0.895,0.395,0.951,0.088,0.921,2,1
affinity,0.096,0.05,0.844,0.879,0.973,0.975,2,1
affinity,0.101,0.053,0.744,0.887,0.97,0.976,2,1
affinity,0.121,0.063,0.657,0.879,0.962,0.973,2,1
affinity,0.096,0.049,0.776,0.879,0.972,0.977,2,1
affinity,0.108,0.059,0.627,0.923,0.962,0.977,2,1
affinity,1.865,0.937,0.664,0.909,0.04,0.941,2,1
KMeans,0.103,0.058,0.745,0.868,0.965,0.975,2,2
KMeans,0.087,0.047,0.796,0.855,0.973,0.978,2,2
KMeans,0.085,0.046,0.825,0.863,0.974,0.978,2,2
KMeans,0.148,0.083,0.558,0.955,0.934,0.98,2,2
KMeans,0.169,0.094,0.571,0.931,0.926,0.977,2,2
KMeans,1.802,0.912,0.629,0.942,0.07,0.929,2,2
specteral,0.111,0.061,0.715,0.851,0.963,0.974,2,2
specteral,0.111,0.058,0.752,0.864,0.966,0.974,2,2
specteral,0.09,0.047,0.835,0.756,0.977,0.974,2,2
specteral,0.209,0.113,0.379,0.97,0.899,0.984,2,2
specteral,0.238,0.127,0.414,0.97,0.886,0.982,2,2
specteral,1.738,0.885,0.418,0.97,0.1,0.925,2,2
affinity,0.082,0.044,0.83,0.748,0.98,0.976,2,2
affinity,0.095,0.047,0.774,0.858,0.973,0.978,2,2
affinity,0.103,0.054,0.736,0.856,0.968,0.977,2,2
affinity,0.09,0.046,0.752,0.77,0.977,0.976,2,2
affinity,0.119,0.062,0.731,0.902,0.959,0.977,2,2
affinity,1.871,0.946,0.77,0.918,0.035,0.867,2,2
KMeans,0.096,0.049,0.733,0.876,0.972,0.977,2,4
KMeans,0.084,0.047,0.787,0.914,0.974,0.979,2,4
KMeans,0.091,0.047,0.777,0.88,0.975,0.977,2,4
KMeans,0.15,0.079,0.573,0.953,0.94,0.979,2,4
KMeans,0.162,0.086,0.499,0.94,0.933,0.978,2,4
KMeans,1.813,0.914,0.51,0.935,0.067,0.946,2,4
specteral,0.111,0.055,0.686,0.87,0.966,0.977,2,4
specteral,0.091,0.05,0.718,0.854,0.972,0.976,2,4
specteral,0.108,0.055,0.672,0.888,0.965,0.978,2,4
specteral,0.211,0.114,0.439,0.972,0.902,0.98,2,4
specteral,0.194,0.104,0.467,0.955,0.913,0.978,2,4
specteral,1.759,0.888,0.34,0.952,0.094,0.949,2,4
affinity,0.091,0.045,0.768,0.848,0.977,0.976,2,4
affinity,0.108,0.059,0.621,0.923,0.964,0.976,2,4
affinity,0.108,0.058,0.621,0.917,0.964,0.977,2,4
affinity,0.108,0.056,0.68,0.856,0.967,0.975,2,4
affinity,0.115,0.061,0.615,0.931,0.96,0.977,2,4
affinity,1.853,0.936,0.52,0.935,0.045,0.9,2,4
KMeans,0.083,0.047,0.784,0.91,0.972,0.98,2,5
KMeans,0.088,0.048,0.773,0.868,0.972,0.979,2,5
KMeans,0.096,0.052,0.75,0.882,0.969,0.977,2,5
KMeans,0.173,0.093,0.522,0.961,0.924,0.98,2,5
KMeans,0.138,0.073,0.58,0.948,0.941,0.984,2,5
KMeans,1.816,0.913,0.542,0.952,0.067,0.968,2,5
specteral,0.092,0.047,0.746,0.877,0.972,0.98,2,5
specteral,0.088,0.049,0.742,0.917,0.969,0.981,2,5
specteral,0.083,0.043,0.816,0.832,0.979,0.978,2,5
specteral,0.171,0.094,0.527,0.963,0.92,0.982,2,5
specteral,0.206,0.117,0.471,0.98,0.898,0.98,2,5
specteral,1.768,0.895,0.521,0.97,0.088,0.94,2,5
affinity,0.07,0.039,0.803,0.834,0.98,0.98,2,5
affinity,0.074,0.042,0.765,0.926,0.974,0.983,2,5
affinity,0.092,0.049,0.76,0.902,0.971,0.979,2,5
affinity,0.096,0.051,0.751,0.852,0.97,0.977,2,5
affinity,0.096,0.051,0.668,0.949,0.963,0.984,2,5
