,winDiff,pk,coverage,purity,recall,precision,season,episode
specteral,0.106,0.06,0.814,0.53,0.965,0.974,2,7
specteral,0.12,0.065,0.793,0.58,0.961,0.971,2,7
affinity,0.086,0.049,0.713,0.828,0.975,0.975,2,7
affinity,0.104,0.055,0.695,0.882,0.967,0.976,2,7
affinity,0.111,0.065,0.771,0.61,0.96,0.972,2,7
affinity,0.111,0.068,0.721,0.889,0.957,0.973,2,7
KMeans,0.094,0.05,0.772,0.9,0.97,0.978,2,8
KMeans,0.097,0.054,0.793,0.865,0.97,0.973,2,8
KMeans,0.118,0.062,0.79,0.726,0.967,0.969,2,8
KMeans,0.097,0.051,0.781,0.773,0.973,0.973,2,8
specteral,0.109,0.059,0.767,0.88,0.964,0.975,2,8
specteral,0.112,0.065,0.788,0.867,0.962,0.97,2,8
specteral,0.136,0.07,0.767,0.543,0.958,0.97,2,8
specteral,0.158,0.079,0.722,0.681,0.947,0.971,2,8
affinity,0.106,0.054,0.781,0.756,0.975,0.969,2,8
affinity,0.1,0.054,0.817,0.893,0.969,0.975,2,8
affinity,0.13,0.065,0.802,0.628,0.962,0.97,2,8
affinity,0.121,0.065,0.814,0.693,0.962,0.97,2,8
KMeans,0.085,0.046,0.763,0.947,0.971,0.982,3,1
KMeans,0.082,0.043,0.752,0.942,0.974,0.982,3,1
KMeans,0.098,0.055,0.696,0.845,0.965,0.979,3,1
KMeans,0.098,0.052,0.657,0.88,0.967,0.979,3,1
specteral,0.085,0.046,0.752,0.941,0.97,0.983,3,1
specteral,0.089,0.047,0.699,0.925,0.969,0.983,3,1
specteral,0.12,0.061,0.74,0.574,0.959,0.978,3,1
specteral,0.138,0.075,0.709,0.731,0.948,0.975,3,1
affinity,0.091,0.047,0.769,0.9,0.974,0.978,3,1
affinity,0.078,0.044,0.76,0.942,0.973,0.982,3,1
affinity,0.122,0.061,0.693,0.71,0.96,0.977,3,1
affinity,0.129,0.068,0.65,0.801,0.953,0.977,3,1
KMeans,0.087,0.054,0.831,0.9,0.967,0.977,3,2
KMeans,0.099,0.054,0.779,0.867,0.969,0.976,3,2
KMeans,0.115,0.066,0.788,0.841,0.96,0.972,3,2
KMeans,0.089,0.048,0.813,0.793,0.973,0.977,3,2
specteral,0.085,0.048,0.771,0.877,0.971,0.979,3,2
specteral,0.101,0.061,0.74,0.894,0.963,0.974,3,2
specteral,0.096,0.049,0.837,0.502,0.969,0.98,3,2
specteral,0.129,0.073,0.765,0.62,0.949,0.975,3,2
affinity,0.078,0.042,0.833,0.878,0.977,0.979,3,2
affinity,0.087,0.047,0.799,0.924,0.971,0.98,3,2
affinity,0.113,0.062,0.807,0.639,0.961,0.974,3,2
affinity,0.111,0.061,0.773,0.63,0.964,0.973,3,2
KMeans,0.081,0.044,0.635,0.941,0.97,0.985,3,4
KMeans,0.086,0.046,0.619,0.915,0.969,0.984,3,4
KMeans,0.07,0.038,0.746,0.844,0.977,0.984,3,4
KMeans,0.088,0.049,0.639,0.886,0.967,0.983,3,4
specteral,0.085,0.044,0.634,0.896,0.971,0.984,3,4
specteral,0.083,0.046,0.656,0.932,0.966,0.987,3,4
specteral,0.094,0.049,0.799,0.524,0.968,0.981,3,4
specteral,0.108,0.059,0.633,0.772,0.956,0.983,3,4
affinity,0.083,0.045,0.681,0.922,0.972,0.982,3,4
affinity,0.081,0.048,0.622,0.942,0.967,0.984,3,4
affinity,0.113,0.059,0.638,0.677,0.958,0.981,3,4
affinity,0.113,0.058,0.655,0.739,0.958,0.982,3,4
KMeans,0.083,0.045,0.677,0.941,0.969,0.984,3,5
KMeans,0.086,0.045,0.682,0.902,0.972,0.982,3,5
KMeans,0.087,0.047,0.658,0.802,0.971,0.981,3,5
KMeans,0.075,0.04,0.665,0.89,0.974,0.985,3,5
specteral,0.077,0.04,0.73,0.879,0.977,0.982,3,5
specteral,0.077,0.039,0.692,0.863,0.976,0.984,3,5
specteral,0.099,0.05,0.728,0.556,0.969,0.98,3,5
specteral,0.12,0.061,0.661,0.758,0.956,0.981,3,5
affinity,0.081,0.042,0.674,0.894,0.975,0.982,3,5
affinity,0.077,0.041,0.659,0.952,0.973,0.985,3,5
affinity,0.117,0.061,0.59,0.793,0.955,0.983,3,5
affinity,0.134,0.067,0.559,0.813,0.95,0.982,3,5
KMeans,0.1,0.055,0.634,0.892,0.965,0.977,3,7
KMeans,0.096,0.055,0.759,0.911,0.965,0.977,3,7
KMeans,0.098,0.053,0.793,0.796,0.967,0.979,3,7
KMeans,0.091,0.051,0.707,0.867,0.967,0.981,3,7
specteral,0.107,0.058,0.718,0.925,0.96,0.981,3,7
specteral,0.096,0.054,0.715,0.917,0.963,0.981,3,7
specteral,0.122,0.066,0.803,0.473,0.957,0.975,3,7
specteral,0.126,0.071,0.782,0.576,0.952,0.975,3,7
affinity,0.067,0.039,0.811,0.908,0.978,0.982,3,7
affinity,0.087,0.051,0.742,0.922,0.968,0.98,3,7
affinity,0.124,0.068,0.774,0.717,0.954,0.975,3,7
affinity,0.111,0.06,0.761,0.676,0.961,0.977,3,7
KMeans,0.125,0.065,0.567,0.924,0.954,0.979,3,8
KMeans,0.096,0.053,0.669,0.939,0.965,0.981,3,8
KMeans,0.075,0.039,0.803,0.752,0.975,0.984,3,8
KMeans,0.086,0.046,0.749,0.821,0.971,0.982,3,8
specteral,0.092,0.049,0.539,0.904,0.966,0.983,3,8
specteral,0.105,0.057,0.559,0.911,0.958,0.984,3,8
specteral,0.114,0.06,0.828,0.433,0.959,0.979,3,8
specteral,0.114,0.061,0.829,0.504,0.958,0.979,3,8
affinity,0.068,0.041,0.811,0.933,0.977,0.982,3,8
affinity,0.101,0.055,0.541,0.954,0.962,0.982,3,8
affinity,0.118,0.064,0.752,0.647,0.954,0.98,3,8
affinity,0.101,0.055,0.72,0.657,0.961,0.983,3,8
KMeans,0.104,0.056,0.651,0.92,0.963,0.98,3,10
KMeans,0.082,0.047,0.73,0.915,0.97,0.982,3,10
KMeans,0.091,0.047,0.797,0.709,0.975,0.977,3,10
KMeans,0.095,0.053,0.726,0.839,0.968,0.977,3,10
specteral,0.088,0.049,0.736,0.893,0.968,0.981,3,10
specteral,0.104,0.06,0.629,0.881,0.962,0.976,3,10
specteral,0.106,0.057,0.837,0.39,0.965,0.975,3,10
specteral,0.115,0.064,0.793,0.555,0.958,0.976,3,10
affinity,0.093,0.051,0.762,0.864,0.971,0.976,3,10
affinity,0.088,0.048,0.638,0.926,0.969,0.981,3,10
affinity,0.132,0.072,0.718,0.777,0.951,0.974,3,10
affinity,0.119,0.062,0.662,0.774,0.958,0.978,3,10
