,winDiff,pk,coverage,purity,recall,precision,season,episode
specteral,0.183,0.103,0.622,0.907,0.925,0.966,1,10
specteral,1.731,0.882,0.603,0.945,0.092,0.909,1,10
affinity,0.118,0.061,0.829,0.801,0.972,0.965,1,10
affinity,0.115,0.062,0.874,0.858,0.971,0.965,1,10
affinity,0.109,0.065,0.806,0.88,0.966,0.966,1,10
affinity,0.115,0.065,0.827,0.863,0.968,0.965,1,10
affinity,0.127,0.066,0.774,0.861,0.962,0.969,1,10
affinity,1.825,0.925,0.688,0.894,0.045,0.879,1,10
KMeans,0.096,0.049,0.788,0.887,0.973,0.976,2,1
KMeans,0.079,0.043,0.854,0.845,0.98,0.976,2,1
KMeans,0.086,0.044,0.809,0.823,0.979,0.976,2,1
KMeans,0.138,0.073,0.568,0.931,0.946,0.979,2,1
KMeans,0.116,0.066,0.572,0.946,0.953,0.978,2,1
KMeans,1.869,0.94,0.749,0.938,0.038,0.938,2,1
specteral,0.081,0.048,0.84,0.844,0.976,0.975,2,1
specteral,0.076,0.043,0.83,0.822,0.979,0.977,2,1
specteral,0.084,0.049,0.862,0.868,0.976,0.974,2,1
specteral,0.153,0.082,0.48,0.934,0.936,0.979,2,1
specteral,0.163,0.093,0.54,0.972,0.924,0.979,2,1
specteral,1.818,0.927,0.627,0.959,0.058,0.852,2,1
affinity,0.076,0.042,0.764,0.847,0.979,0.979,2,1
affinity,0.116,0.064,0.645,0.924,0.958,0.976,2,1
affinity,0.084,0.046,0.763,0.913,0.973,0.98,2,1
affinity,0.089,0.049,0.743,0.916,0.97,0.98,2,1
affinity,0.106,0.057,0.648,0.93,0.963,0.978,2,1
affinity,1.862,0.943,0.685,0.95,0.038,0.857,2,1
KMeans,0.09,0.047,0.863,0.938,0.973,0.978,2,2
KMeans,0.063,0.034,0.846,0.867,0.982,0.982,2,2
KMeans,0.082,0.044,0.792,0.836,0.977,0.978,2,2
KMeans,0.114,0.063,0.704,0.962,0.953,0.982,2,2
KMeans,0.1,0.054,0.723,0.946,0.962,0.982,2,2
KMeans,1.847,0.937,0.686,0.949,0.046,0.872,2,2
specteral,0.077,0.045,0.834,0.847,0.974,0.98,2,2
specteral,0.09,0.05,0.776,0.881,0.972,0.977,2,2
specteral,0.082,0.045,0.793,0.825,0.976,0.978,2,2
specteral,0.156,0.091,0.592,0.923,0.928,0.977,2,2
specteral,0.135,0.077,0.611,0.943,0.942,0.979,2,2
specteral,1.786,0.901,0.504,0.938,0.08,0.952,2,2
affinity,0.082,0.044,0.854,0.868,0.977,0.978,2,2
affinity,0.095,0.053,0.789,0.902,0.969,0.977,2,2
affinity,0.103,0.057,0.747,0.881,0.966,0.975,2,2
affinity,0.085,0.046,0.747,0.905,0.972,0.981,2,2
affinity,0.119,0.063,0.695,0.938,0.958,0.977,2,2
affinity,1.86,0.941,0.603,0.905,0.041,0.882,2,2
KMeans,0.076,0.04,0.755,0.915,0.977,0.981,2,4
KMeans,0.079,0.044,0.801,0.899,0.977,0.977,2,4
KMeans,0.086,0.045,0.818,0.876,0.977,0.976,2,4
KMeans,0.15,0.082,0.515,0.924,0.94,0.975,2,4
KMeans,0.133,0.071,0.533,0.946,0.948,0.978,2,4
KMeans,1.853,0.928,0.553,0.945,0.05,0.976,2,4
specteral,0.084,0.044,0.788,0.837,0.977,0.977,2,4
specteral,0.074,0.039,0.726,0.844,0.979,0.981,2,4
specteral,0.076,0.044,0.785,0.825,0.977,0.977,2,4
specteral,0.16,0.085,0.515,0.939,0.93,0.983,2,4
specteral,0.147,0.088,0.557,0.973,0.932,0.976,2,4
specteral,1.823,0.92,0.595,0.931,0.062,0.925,2,4
affinity,0.084,0.043,0.696,0.892,0.975,0.981,2,4
affinity,0.098,0.055,0.602,0.931,0.965,0.978,2,4
affinity,0.101,0.053,0.664,0.919,0.967,0.978,2,4
affinity,0.106,0.055,0.664,0.879,0.967,0.976,2,4
affinity,0.12,0.065,0.612,0.956,0.956,0.977,2,4
affinity,1.865,0.948,0.517,0.937,0.036,0.806,2,4
KMeans,0.072,0.043,0.834,0.943,0.975,0.981,2,5
KMeans,0.09,0.049,0.827,0.882,0.974,0.975,2,5
KMeans,0.074,0.04,0.781,0.854,0.978,0.981,2,5
KMeans,0.133,0.071,0.609,0.94,0.947,0.979,2,5
KMeans,0.103,0.063,0.683,0.973,0.956,0.978,2,5
KMeans,1.856,0.941,0.662,0.944,0.043,0.864,2,5
specteral,0.085,0.044,0.797,0.893,0.975,0.98,2,5
specteral,0.088,0.047,0.761,0.864,0.973,0.979,2,5
specteral,0.079,0.044,0.798,0.909,0.973,0.982,2,5
specteral,0.14,0.078,0.557,0.953,0.936,0.984,2,5
specteral,0.127,0.071,0.621,0.966,0.941,0.986,2,5
specteral,1.803,0.923,0.515,0.951,0.065,0.853,2,5
affinity,0.072,0.043,0.773,0.869,0.975,0.981,2,5
affinity,0.085,0.046,0.723,0.919,0.971,0.982,2,5
affinity,0.085,0.046,0.727,0.92,0.97,0.983,2,5
affinity,0.09,0.049,0.717,0.855,0.97,0.98,2,5
affinity,0.105,0.055,0.631,0.925,0.961,0.983,2,5
affinity,1.856,0.948,0.644,0.96,0.039,0.795,2,5
KMeans,0.076,0.042,0.652,0.849,0.975,0.983,2,6
KMeans,0.068,0.035,0.769,0.831,0.982,0.983,2,6
KMeans,0.072,0.037,0.716,0.86,0.979,0.984,2,6
KMeans,0.106,0.056,0.528,0.954,0.954,0.989,2,6
KMeans,0.098,0.052,0.596,0.939,0.962,0.984,2,6
KMeans,1.875,0.945,0.549,0.92,0.04,0.913,2,6
specteral,0.068,0.038,0.686,0.839,0.978,0.984,2,6
specteral,0.068,0.037,0.681,0.832,0.979,0.984,2,6
specteral,0.066,0.033,0.728,0.83,0.981,0.985,2,6
specteral,0.125,0.062,0.517,0.91,0.948,0.988,2,6
specteral,0.153,0.079,0.483,0.936,0.935,0.984,2,6
specteral,1.839,0.935,0.527,0.937,0.055,0.877,2,6
affinity,0.081,0.042,0.652,0.863,0.974,0.983,2,6
affinity,0.091,0.05,0.525,0.892,0.967,0.981,2,6
affinity,0.095,0.054,0.557,0.924,0.962,0.982,2,6
affinity,0.091,0.046,0.575,0.876,0.968,0.984,2,6
affinity,0.102,0.055,0.573,0.913,0.962,0.982,2,6
affinity,1.875,0.945,0.546,0.942,0.04,0.913,2,6
KMeans,0.098,0.052,0.788,0.901,0.973,0.974,2,7
KMeans,0.082,0.048,0.833,0.884,0.977,0.974,2,7
KMeans,0.075,0.042,0.815,0.875,0.979,0.977,2,7
KMeans,0.133,0.072,0.659,0.928,0.948,0.978,2,7
KMeans,0.109,0.062,0.712,0.93,0.958,0.978,2,7
KMeans,1.831,0.936,0.64,0.948,0.047,0.82,2,7
specteral,0.082,0.047,0.79,0.885,0.976,0.976,2,7
specteral,0.091,0.048,0.769,0.896,0.974,0.977,2,7
specteral,0.08,0.049,0.817,0.9,0.975,0.975,2,7
specteral,0.155,0.083,0.563,0.937,0.937,0.976,2,7
specteral,0.142,0.08,0.631,0.939,0.941,0.976,2,7
specteral,1.809,0.918,0.604,0.926,0.062,0.9,2,7
affinity,0.095,0.051,0.712,0.833,0.974,0.974,2,7
affinity,0.111,0.059,0.637,0.888,0.965,0.975,2,7
affinity,0.095,0.052,0.621,0.887,0.968,0.978,2,7
affinity,0.091,0.051,0.689,0.883,0.97,0.977,2,7
affinity,0.106,0.062,0.694,0.93,0.961,0.975,2,7
affinity,1.851,0.946,0.648,0.929,0.036,0.78,2,7
KMeans,0.106,0.059,0.831,0.847,0.97,0.969,2,8
KMeans,0.082,0.051,0.912,0.88,0.977,0.97,2,8
KMeans,0.1,0.053,0.826,0.837,0.973,0.972,2,8
KMeans,0.145,0.082,0.666,0.923,0.944,0.971,2,8
KMeans,0.118,0.065,0.673,0.915,0.955,0.978,2,8
KMeans,1.818,0.921,0.673,0.908,0.053,0.895,2,8
specteral,0.094,0.051,0.843,0.832,0.973,0.973,2,8
specteral,0.106,0.059,0.818,0.858,0.969,0.97,2,8
specteral,0.106,0.056,0.796,0.8,0.972,0.97,2,8
specteral,0.136,0.079,0.649,0.924,0.945,0.973,2,8
specteral,0.142,0.08,0.593,0.896,0.942,0.974,2,8
specteral,1.782,0.927,0.557,0.924,0.059,0.76,2,8
affinity,0.109,0.057,0.782,0.717,0.973,0.967,2,8
affinity,0.109,0.061,0.773,0.847,0.967,0.97,2,8
affinity,0.118,0.064,0.781,0.855,0.966,0.969,2,8
affinity,0.106,0.061,0.75,0.825,0.967,0.97,2,8
affinity,0.112,0.059,0.752,0.9,0.964,0.975,2,8
affinity,1.842,0.936,0.717,0.88,0.039,0.833,2,8
