,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.437,0.353,0.957,0.962,0.0,0.0,10,1
specteral,0.349,0.017,0.736,0.882,0.038,0.059,10,1
specteral,0.136,0.072,0.945,0.962,0.954,0.97,10,1
specteral,0.5,0.332,0.945,0.962,0.269,0.189,10,1
affinity,0.505,0.029,0.815,0.839,0.057,0.044,10,1
affinity,0.127,0.066,0.966,0.962,0.968,0.963,10,1
affinity,0.383,0.308,0.966,0.962,0.077,0.087,10,1
affinity,0.379,0.024,0.833,0.869,0.493,0.475,10,1
affinity,0.118,0.069,0.963,0.962,0.965,0.963,10,1
affinity,0.395,0.304,0.963,0.962,0.077,0.08,10,1
KMeans,0.156,0.022,0.739,0.959,0.049,0.057,1,2
KMeans,0.101,0.063,0.958,0.974,0.96,0.976,1,2
KMeans,0.481,0.292,0.958,0.974,0.095,0.059,1,2
KMeans,0.139,0.02,0.748,0.916,0.178,0.195,1,2
KMeans,0.086,0.047,0.969,0.974,0.973,0.978,1,2
KMeans,0.398,0.299,0.969,0.974,0.19,0.16,1,2
specteral,0.408,0.058,0.74,0.94,0.04,0.061,1,2
specteral,0.089,0.057,0.959,0.974,0.963,0.978,1,2
specteral,0.526,0.311,0.959,0.974,0.19,0.121,1,2
specteral,0.434,0.062,0.699,0.899,0.035,0.047,1,2
specteral,0.108,0.059,0.954,0.974,0.96,0.979,1,2
specteral,0.631,0.367,0.954,0.974,0.238,0.135,1,2
affinity,0.538,0.077,0.774,0.851,0.068,0.105,1,2
affinity,0.081,0.042,0.972,0.974,0.977,0.98,1,2
affinity,0.451,0.342,0.972,0.974,0.238,0.217,1,2
affinity,0.784,0.12,0.728,0.903,0.005,0.036,1,2
affinity,0.099,0.055,0.966,0.974,0.967,0.976,1,2
affinity,0.423,0.345,0.966,0.974,0.095,0.071,1,2
KMeans,0.394,0.049,0.769,0.908,0.046,0.071,2,2
KMeans,0.09,0.05,0.964,0.975,0.969,0.979,2,2
KMeans,0.364,0.269,0.964,0.975,0.211,0.148,2,2
KMeans,0.149,0.019,0.784,0.889,0.072,0.083,2,2
KMeans,0.085,0.045,0.967,0.975,0.973,0.981,2,2
KMeans,0.394,0.3,0.967,0.975,0.263,0.2,2,2
specteral,0.501,0.062,0.74,0.906,0.034,0.058,2,2
specteral,0.108,0.059,0.958,0.975,0.961,0.978,2,2
specteral,0.531,0.334,0.958,0.975,0.158,0.094,2,2
specteral,0.511,0.065,0.664,0.889,0.029,0.05,2,2
specteral,0.108,0.061,0.954,0.975,0.958,0.979,2,2
specteral,0.641,0.353,0.954,0.975,0.211,0.114,2,2
affinity,0.202,0.025,0.821,0.883,0.072,0.087,2,2
affinity,0.082,0.045,0.97,0.975,0.974,0.98,2,2
affinity,0.364,0.304,0.97,0.975,0.211,0.174,2,2
affinity,0.668,0.092,0.755,0.891,0.011,0.037,2,2
affinity,0.103,0.055,0.964,0.975,0.966,0.977,2,2
affinity,0.443,0.346,0.964,0.975,0.105,0.074,2,2
KMeans,0.463,0.039,0.665,0.946,0.058,0.082,4,2
KMeans,0.101,0.055,0.957,0.975,0.962,0.981,4,2
KMeans,0.551,0.359,0.957,0.975,0.25,0.143,4,2
KMeans,0.164,0.014,0.658,0.937,0.108,0.126,4,2
KMeans,0.098,0.053,0.964,0.975,0.967,0.978,4,2
KMeans,0.475,0.361,0.964,0.975,0.15,0.103,4,2
specteral,0.711,0.071,0.67,0.918,0.038,0.045,4,2
specteral,0.093,0.053,0.96,0.975,0.965,0.981,4,2
specteral,0.642,0.407,0.96,0.975,0.25,0.152,4,2
specteral,0.677,0.07,0.779,0.858,0.124,0.182,4,2
specteral,0.081,0.045,0.969,0.975,0.974,0.98,4,2
specteral,0.473,0.322,0.969,0.975,0.2,0.16,4,2
affinity,0.756,0.075,0.697,0.891,0.338,0.38,4,2
affinity,0.081,0.043,0.969,0.975,0.975,0.981,4,2
affinity,0.468,0.352,0.969,0.975,0.25,0.2,4,2
affinity,0.637,0.073,0.666,0.92,0.049,0.072,4,2
affinity,0.086,0.048,0.964,0.975,0.97,0.981,4,2
affinity,0.506,0.359,0.964,0.975,0.25,0.172,4,2
KMeans,0.419,0.042,0.669,0.939,0.142,0.15,5,2
KMeans,0.094,0.054,0.96,0.976,0.964,0.981,5,2
KMeans,0.481,0.321,0.96,0.976,0.227,0.135,5,2
KMeans,0.033,0.003,0.814,0.918,0.161,0.166,5,2
KMeans,0.066,0.036,0.97,0.976,0.979,0.984,5,2
KMeans,0.286,0.222,0.97,0.976,0.364,0.296,5,2
specteral,0.397,0.04,0.717,0.903,0.119,0.127,5,2
specteral,0.096,0.054,0.96,0.976,0.964,0.981,5,2
specteral,0.515,0.334,0.96,0.976,0.227,0.135,5,2
specteral,0.066,0.007,0.701,0.939,0.095,0.111,5,2
specteral,0.09,0.05,0.958,0.976,0.965,0.983,5,2
specteral,0.516,0.307,0.958,0.976,0.318,0.184,5,2
affinity,0.826,0.09,0.753,0.85,0.126,0.14,5,2
affinity,0.081,0.046,0.972,0.976,0.974,0.979,5,2
affinity,0.394,0.339,0.972,0.976,0.136,0.115,5,2
affinity,0.143,0.014,0.726,0.931,0.148,0.163,5,2
affinity,0.085,0.047,0.964,0.976,0.97,0.982,5,2
affinity,0.4,0.303,0.964,0.976,0.273,0.182,5,2
KMeans,0.188,0.007,0.646,0.959,0.038,0.043,6,2
KMeans,0.076,0.042,0.962,0.981,0.969,0.988,6,2
KMeans,0.589,0.309,0.962,0.981,0.4,0.2,6,2
KMeans,0.605,0.035,0.618,0.911,0.05,0.069,6,2
KMeans,0.081,0.043,0.968,0.981,0.971,0.984,6,2
KMeans,0.484,0.334,0.968,0.981,0.2,0.118,6,2
specteral,0.745,0.041,0.607,0.878,0.04,0.047,6,2
specteral,0.091,0.048,0.961,0.981,0.965,0.985,6,2
specteral,0.818,0.443,0.961,0.981,0.25,0.122,6,2
specteral,0.994,0.051,0.673,0.888,0.061,0.075,6,2
specteral,0.074,0.04,0.968,0.981,0.973,0.986,6,2
specteral,0.622,0.354,0.968,0.981,0.3,0.176,6,2
affinity,0.993,0.035,0.633,0.847,0.099,0.107,6,2
affinity,0.081,0.043,0.972,0.981,0.973,0.983,6,2
affinity,0.516,0.39,0.972,0.981,0.1,0.067,6,2
affinity,0.157,0.002,0.45,0.928,0.051,0.06,6,2
affinity,0.104,0.055,0.957,0.981,0.96,0.984,6,2
affinity,0.795,0.507,0.957,0.981,0.2,0.087,6,2
KMeans,1.27,0.024,0.721,0.888,0.054,0.056,7,2
KMeans,0.111,0.059,0.959,0.971,0.964,0.976,7,2
KMeans,0.501,0.324,0.959,0.971,0.192,0.135,7,2
KMeans,0.124,0.004,0.775,0.903,0.192,0.185,7,2
KMeans,0.098,0.053,0.967,0.971,0.97,0.975,7,2
KMeans,0.363,0.248,0.967,0.971,0.154,0.133,7,2
specteral,1.92,0.043,0.685,0.911,0.039,0.056,7,2
specteral,0.109,0.066,0.958,0.971,0.959,0.972,7,2
specteral,0.515,0.348,0.958,0.971,0.077,0.053,7,2
specteral,3.226,0.062,0.723,0.907,0.05,0.068,7,2
specteral,0.1,0.058,0.962,0.971,0.966,0.975,7,2
specteral,0.433,0.298,0.962,0.971,0.154,0.118,7,2
affinity,2.04,0.078,0.713,0.828,0.136,0.115,7,2
affinity,0.086,0.049,0.971,0.971,0.975,0.975,7,2
affinity,0.463,0.383,0.971,0.971,0.154,0.154,7,2
affinity,0.131,0.028,0.695,0.882,0.08,0.118,7,2
affinity,0.104,0.055,0.962,0.971,0.967,0.976,7,2
affinity,0.479,0.364,0.962,0.971,0.192,0.147,7,2
KMeans,0.721,0.01,0.772,0.9,0.114,0.119,8,2
KMeans,0.094,0.05,0.959,0.967,0.97,0.978,8,2
KMeans,0.307,0.247,0.959,0.967,0.364,0.296,8,2
KMeans,1.496,0.047,0.793,0.865,0.333,0.382,8,2
KMeans,0.097,0.054,0.964,0.967,0.97,0.973,8,2
KMeans,0.39,0.328,0.964,0.967,0.227,0.208,8,2
specteral,0.649,0.029,0.767,0.88,0.079,0.089,8,2
specteral,0.109,0.059,0.956,0.967,0.964,0.975,8,2
specteral,0.467,0.338,0.956,0.967,0.273,0.207,8,2
specteral,0.272,0.055,0.788,0.867,0.145,0.161,8,2
specteral,0.112,0.065,0.959,0.967,0.962,0.97,8,2
specteral,0.433,0.321,0.959,0.967,0.136,0.111,8,2
affinity,4.331,0.116,0.781,0.756,0.043,0.02,8,2
affinity,0.106,0.054,0.973,0.967,0.975,0.969,8,2
affinity,0.418,0.359,0.973,0.967,0.091,0.111,8,2
affinity,0.212,0.039,0.817,0.893,0.005,0.038,8,2
affinity,0.1,0.054,0.961,0.967,0.969,0.975,8,2
affinity,0.351,0.283,0.961,0.967,0.273,0.231,8,2
KMeans,0.739,0.094,0.763,0.947,0.083,0.076,1,3
KMeans,0.085,0.046,0.966,0.976,0.971,0.982,1,3
KMeans,0.386,0.26,0.966,0.976,0.273,0.194,1,3
KMeans,0.793,0.102,0.752,0.942,0.065,0.059,1,3
KMeans,0.082,0.043,0.968,0.976,0.974,0.982,1,3
KMeans,0.395,0.265,0.968,0.976,0.273,0.207,1,3
specteral,0.739,0.095,0.752,0.941,0.044,0.033,1,3
specteral,0.085,0.046,0.963,0.976,0.97,0.983,1,3
specteral,0.487,0.273,0.963,0.976,0.318,0.212,1,3
specteral,0.739,0.095,0.699,0.925,0.033,0.032,1,3
specteral,0.089,0.047,0.962,0.976,0.969,0.983,1,3
specteral,0.476,0.285,0.962,0.976,0.318,0.206,1,3
affinity,0.826,0.103,0.769,0.9,0.194,0.21,1,3
affinity,0.091,0.047,0.971,0.976,0.974,0.978,1,3
affinity,0.387,0.306,0.971,0.976,0.136,0.115,1,3
affinity,0.658,0.085,0.76,0.942,0.053,0.06,1,3
affinity,0.078,0.044,0.967,0.976,0.973,0.982,1,3
affinity,0.385,0.282,0.967,0.976,0.273,0.2,1,3
