,winDiff,pk,coverage,purity,recall,precision,season,episode
affinity,0.103,0.057,0.773,0.608,0.966,0.975,2,2
affinity,0.095,0.049,0.855,0.66,0.972,0.978,2,2
KMeans,0.081,0.043,0.774,0.92,0.976,0.98,2,4
KMeans,0.081,0.042,0.805,0.867,0.98,0.977,2,4
KMeans,0.098,0.054,0.783,0.805,0.97,0.975,2,4
KMeans,0.093,0.05,0.753,0.805,0.971,0.977,2,4
specteral,0.074,0.042,0.832,0.896,0.979,0.979,2,4
specteral,0.088,0.049,0.766,0.883,0.974,0.976,2,4
specteral,0.13,0.067,0.756,0.636,0.956,0.974,2,4
specteral,0.123,0.067,0.681,0.831,0.951,0.979,2,4
affinity,0.084,0.043,0.696,0.892,0.975,0.981,2,4
affinity,0.091,0.05,0.674,0.918,0.97,0.978,2,4
affinity,0.113,0.058,0.713,0.718,0.964,0.977,2,4
affinity,0.098,0.052,0.752,0.728,0.971,0.976,2,4
KMeans,0.09,0.049,0.756,0.847,0.972,0.977,2,5
KMeans,0.066,0.038,0.752,0.845,0.979,0.982,2,5
KMeans,0.107,0.06,0.763,0.83,0.962,0.976,2,5
KMeans,0.077,0.044,0.788,0.861,0.973,0.982,2,5
specteral,0.061,0.037,0.827,0.891,0.98,0.982,2,5
specteral,0.083,0.048,0.783,0.902,0.972,0.979,2,5
specteral,0.098,0.051,0.791,0.497,0.97,0.977,2,5
specteral,0.127,0.068,0.71,0.739,0.951,0.979,2,5
affinity,0.072,0.043,0.773,0.869,0.975,0.981,2,5
affinity,0.088,0.046,0.729,0.908,0.971,0.982,2,5
affinity,0.112,0.057,0.725,0.76,0.964,0.977,2,5
affinity,0.098,0.051,0.765,0.78,0.969,0.979,2,5
KMeans,0.06,0.032,0.742,0.891,0.981,0.986,2,6
KMeans,0.059,0.03,0.709,0.848,0.984,0.986,2,6
KMeans,0.095,0.051,0.636,0.871,0.964,0.983,2,6
KMeans,0.093,0.048,0.585,0.865,0.967,0.983,2,6
specteral,0.07,0.038,0.691,0.854,0.977,0.984,2,6
specteral,0.053,0.028,0.715,0.871,0.982,0.989,2,6
specteral,0.098,0.05,0.705,0.613,0.967,0.981,2,6
specteral,0.104,0.054,0.651,0.807,0.961,0.984,2,6
affinity,0.081,0.042,0.652,0.863,0.974,0.983,2,6
affinity,0.093,0.049,0.616,0.911,0.968,0.981,2,6
affinity,0.089,0.047,0.647,0.684,0.97,0.981,2,6
affinity,0.095,0.05,0.665,0.785,0.968,0.981,2,6
KMeans,0.091,0.051,0.759,0.894,0.973,0.975,2,7
KMeans,0.078,0.041,0.808,0.834,0.982,0.976,2,7
KMeans,0.106,0.059,0.745,0.824,0.965,0.975,2,7
KMeans,0.109,0.056,0.757,0.849,0.968,0.974,2,7
specteral,0.104,0.056,0.755,0.887,0.969,0.973,2,7
specteral,0.098,0.051,0.763,0.875,0.974,0.974,2,7
specteral,0.098,0.053,0.821,0.533,0.971,0.974,2,7
specteral,0.113,0.062,0.779,0.61,0.961,0.975,2,7
affinity,0.095,0.051,0.712,0.833,0.974,0.974,2,7
affinity,0.109,0.06,0.725,0.888,0.965,0.974,2,7
affinity,0.104,0.055,0.782,0.583,0.969,0.974,2,7
affinity,0.1,0.054,0.763,0.81,0.968,0.976,2,7
KMeans,0.091,0.051,0.865,0.888,0.973,0.973,2,8
KMeans,0.088,0.047,0.871,0.806,0.98,0.972,2,8
KMeans,0.112,0.061,0.855,0.672,0.97,0.967,2,8
KMeans,0.106,0.057,0.797,0.775,0.97,0.97,2,8
specteral,0.079,0.042,0.838,0.852,0.98,0.977,2,8
specteral,0.094,0.053,0.799,0.785,0.975,0.97,2,8
specteral,0.121,0.065,0.832,0.52,0.962,0.97,2,8
specteral,0.13,0.067,0.815,0.614,0.961,0.97,2,8
affinity,0.109,0.057,0.782,0.717,0.973,0.967,2,8
affinity,0.1,0.053,0.775,0.865,0.97,0.975,2,8
affinity,0.115,0.059,0.831,0.554,0.97,0.969,2,8
affinity,0.121,0.067,0.814,0.681,0.964,0.967,2,8
KMeans,0.082,0.042,0.776,0.874,0.977,0.979,3,1
KMeans,0.06,0.034,0.823,0.873,0.983,0.982,3,1
KMeans,0.087,0.049,0.73,0.851,0.97,0.979,3,1
KMeans,0.1,0.053,0.733,0.885,0.964,0.981,3,1
specteral,0.076,0.039,0.835,0.808,0.981,0.979,3,1
specteral,0.08,0.044,0.776,0.884,0.976,0.978,3,1
specteral,0.102,0.052,0.781,0.57,0.968,0.978,3,1
specteral,0.107,0.056,0.732,0.769,0.961,0.981,3,1
affinity,0.091,0.049,0.769,0.9,0.973,0.977,3,1
affinity,0.094,0.047,0.735,0.929,0.97,0.982,3,1
affinity,0.107,0.057,0.74,0.666,0.967,0.975,3,1
affinity,0.107,0.055,0.723,0.683,0.968,0.976,3,1
KMeans,0.068,0.039,0.867,0.874,0.979,0.981,3,2
KMeans,0.082,0.048,0.877,0.868,0.976,0.975,3,2
KMeans,0.104,0.056,0.783,0.814,0.967,0.974,3,2
KMeans,0.085,0.046,0.817,0.747,0.975,0.978,3,2
specteral,0.075,0.043,0.845,0.801,0.977,0.978,3,2
specteral,0.068,0.04,0.86,0.865,0.979,0.979,3,2
specteral,0.111,0.059,0.841,0.499,0.966,0.973,3,2
specteral,0.104,0.063,0.765,0.672,0.958,0.977,3,2
affinity,0.066,0.035,0.828,0.887,0.981,0.983,3,2
affinity,0.089,0.053,0.76,0.885,0.969,0.977,3,2
affinity,0.099,0.052,0.854,0.575,0.971,0.976,3,2
affinity,0.108,0.056,0.843,0.616,0.969,0.973,3,2
KMeans,0.07,0.038,0.756,0.872,0.978,0.983,3,4
KMeans,0.059,0.033,0.808,0.879,0.982,0.984,3,4
KMeans,0.067,0.037,0.749,0.865,0.977,0.985,3,4
KMeans,0.081,0.044,0.648,0.911,0.97,0.985,3,4
specteral,0.077,0.04,0.638,0.88,0.974,0.985,3,4
specteral,0.076,0.041,0.72,0.899,0.975,0.982,3,4
specteral,0.094,0.049,0.802,0.524,0.969,0.981,3,4
