,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.147,0.006,0.839,0.739,0.134,0.129,10,1
KMeans,0.127,0.069,0.963,0.962,0.965,0.963,10,1
KMeans,0.458,0.325,0.963,0.962,0.077,0.08,10,1
KMeans,0.468,0.023,0.823,0.854,0.293,0.244,10,1
KMeans,0.115,0.069,0.96,0.962,0.963,0.965,10,1
KMeans,0.38,0.275,0.96,0.962,0.115,0.111,10,1
specteral,0.578,0.064,0.832,0.499,0.004,0.033,10,1
specteral,0.142,0.077,0.956,0.962,0.957,0.963,10,1
specteral,0.774,0.427,0.956,0.962,0.077,0.067,10,1
specteral,0.584,0.063,0.78,0.647,0.003,0.025,10,1
specteral,0.16,0.089,0.941,0.962,0.943,0.964,10,1
specteral,0.798,0.405,0.941,0.962,0.115,0.075,10,1
affinity,0.583,0.064,0.783,0.612,0.002,0.032,10,1
affinity,0.142,0.081,0.954,0.962,0.954,0.961,10,1
affinity,0.628,0.383,0.954,0.962,0.038,0.032,10,1
affinity,0.583,0.064,0.764,0.644,0.002,0.032,10,1
affinity,0.151,0.078,0.954,0.962,0.955,0.963,10,1
affinity,0.649,0.439,0.954,0.962,0.077,0.065,10,1
KMeans,0.668,0.108,0.77,0.722,0.022,0.04,1,2
KMeans,0.089,0.049,0.969,0.974,0.972,0.977,1,2
KMeans,0.549,0.372,0.969,0.974,0.143,0.12,1,2
KMeans,0.425,0.061,0.737,0.831,0.042,0.065,1,2
KMeans,0.108,0.059,0.962,0.974,0.963,0.976,1,2
KMeans,0.581,0.365,0.962,0.974,0.095,0.065,1,2
specteral,0.626,0.1,0.86,0.41,0.004,0.036,1,2
specteral,0.108,0.055,0.966,0.974,0.967,0.976,1,2
specteral,0.942,0.46,0.966,0.974,0.095,0.071,1,2
specteral,0.747,0.118,0.807,0.583,0.003,0.026,1,2
specteral,0.133,0.07,0.953,0.974,0.953,0.974,1,2
specteral,1.034,0.415,0.953,0.974,0.048,0.026,1,2
