,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.043,0.006,0.824,0.868,0.267,0.238,1,2
KMeans,0.084,0.048,0.973,0.974,0.975,0.976,1,2
KMeans,0.34,0.235,0.973,0.974,0.095,0.091,1,2
KMeans,0.26,0.037,0.768,0.761,0.159,0.142,1,2
KMeans,0.089,0.047,0.977,0.974,0.977,0.975,1,2
KMeans,0.496,0.396,0.977,0.974,0.048,0.053,1,2
specteral,0.399,0.057,0.829,0.918,0.297,0.329,1,2
specteral,0.076,0.041,0.973,0.974,0.979,0.98,1,2
specteral,0.28,0.21,0.973,0.974,0.238,0.227,1,2
specteral,0.39,0.056,0.78,0.836,0.134,0.153,1,2
specteral,0.074,0.039,0.974,0.974,0.98,0.98,1,2
specteral,0.385,0.299,0.974,0.974,0.238,0.238,1,2
affinity,0.33,0.047,0.764,0.847,0.475,0.446,1,2
affinity,0.076,0.042,0.974,0.974,0.979,0.979,1,2
affinity,0.456,0.369,0.974,0.974,0.19,0.19,1,2
affinity,0.778,0.12,0.721,0.943,0.006,0.032,1,2
affinity,0.099,0.054,0.962,0.974,0.966,0.978,1,2
affinity,0.45,0.296,0.962,0.974,0.19,0.129,1,2
KMeans,0.277,0.035,0.834,0.891,0.273,0.315,2,2
KMeans,0.079,0.049,0.971,0.975,0.973,0.977,2,2
KMeans,0.298,0.238,0.971,0.975,0.105,0.091,2,2
KMeans,0.266,0.033,0.9,0.883,0.698,0.646,2,2
KMeans,0.069,0.041,0.976,0.975,0.98,0.978,2,2
KMeans,0.257,0.219,0.976,0.975,0.158,0.167,2,2
specteral,0.245,0.031,0.835,0.873,0.12,0.137,2,2
specteral,0.082,0.045,0.972,0.975,0.976,0.978,2,2
specteral,0.305,0.292,0.972,0.975,0.158,0.143,2,2
specteral,0.383,0.048,0.764,0.772,0.059,0.079,2,2
specteral,0.087,0.049,0.971,0.975,0.973,0.977,2,2
specteral,0.436,0.352,0.971,0.975,0.105,0.091,2,2
