,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,1.993,0.448,0.897,0.978,0.211,0.044,9,1
affinity,0.196,0.016,0.628,0.89,0.063,0.067,9,1
affinity,0.097,0.051,0.964,0.978,0.967,0.981,9,1
affinity,0.55,0.406,0.964,0.978,0.158,0.097,9,1
affinity,0.688,0.077,0.61,0.959,0.003,0.025,9,1
affinity,0.11,0.059,0.954,0.978,0.958,0.982,9,1
affinity,0.604,0.377,0.954,0.978,0.211,0.1,9,1
affinity,0.625,0.071,0.554,0.929,0.003,0.025,9,1
affinity,1.864,0.937,0.954,0.978,0.045,0.95,9,1
affinity,0.604,0.384,0.954,0.978,0.105,0.05,9,1
KMeans,0.453,0.029,0.613,0.941,0.015,0.017,10,1
KMeans,0.198,0.114,0.913,0.962,0.916,0.964,10,1
KMeans,0.789,0.338,0.913,0.962,0.154,0.068,10,1
KMeans,0.214,0.011,0.703,0.922,0.067,0.066,10,1
KMeans,0.175,0.095,0.926,0.962,0.932,0.968,10,1
KMeans,0.642,0.292,0.926,0.962,0.231,0.12,10,1
KMeans,0.257,0.011,0.648,0.916,0.032,0.042,10,1
KMeans,1.766,0.892,0.922,0.962,0.077,0.943,10,1
KMeans,0.675,0.349,0.922,0.962,0.115,0.057,10,1
specteral,0.453,0.029,0.541,0.957,0.011,0.013,10,1
specteral,0.21,0.121,0.888,0.962,0.899,0.973,10,1
specteral,1.087,0.373,0.888,0.962,0.385,0.132,10,1
specteral,0.443,0.031,0.514,0.951,0.011,0.014,10,1
specteral,0.216,0.129,0.892,0.962,0.897,0.967,10,1
specteral,1.018,0.388,0.892,0.962,0.231,0.082,10,1
specteral,0.443,0.031,0.53,0.936,0.026,0.028,10,1
specteral,1.698,0.867,0.888,0.962,0.108,0.921,10,1
specteral,1.133,0.409,0.888,0.962,0.231,0.079,10,1
affinity,1.67,0.096,0.848,0.703,0.037,0.022,10,1
affinity,0.112,0.058,0.975,0.962,0.977,0.964,10,1
affinity,0.494,0.408,0.975,0.962,0.077,0.118,10,1
affinity,0.379,0.024,0.774,0.858,0.128,0.14,10,1
affinity,0.13,0.068,0.959,0.962,0.963,0.966,10,1
affinity,0.425,0.32,0.959,0.962,0.154,0.143,10,1
affinity,0.682,0.04,0.703,0.842,0.498,0.466,10,1
affinity,1.843,0.928,0.96,0.962,0.038,0.926,10,1
affinity,0.425,0.353,0.96,0.962,0.077,0.074,10,1
KMeans,0.66,0.105,0.592,0.958,0.002,0.016,1,2
KMeans,0.187,0.098,0.925,0.974,0.924,0.973,1,2
KMeans,1.074,0.403,0.925,0.974,0.048,0.016,1,2
KMeans,0.373,0.053,0.53,0.945,0.027,0.035,1,2
KMeans,0.153,0.086,0.937,0.974,0.937,0.974,1,2
KMeans,0.895,0.411,0.937,0.974,0.048,0.02,1,2
KMeans,0.121,0.017,0.568,0.931,0.037,0.044,1,2
KMeans,1.825,0.921,0.937,0.974,0.059,0.922,1,2
KMeans,0.882,0.406,0.937,0.974,0.19,0.078,1,2
specteral,0.603,0.09,0.499,0.961,0.015,0.017,1,2
specteral,0.15,0.082,0.926,0.974,0.933,0.981,1,2
specteral,0.984,0.409,0.926,0.974,0.333,0.117,1,2
specteral,0.564,0.08,0.445,0.954,0.013,0.023,1,2
specteral,0.207,0.112,0.907,0.974,0.908,0.976,1,2
specteral,1.441,0.481,0.907,0.974,0.143,0.039,1,2
specteral,0.529,0.075,0.395,0.951,0.015,0.024,1,2
specteral,1.761,0.895,0.907,0.974,0.088,0.921,1,2
specteral,1.399,0.473,0.907,0.974,0.286,0.079,1,2
affinity,0.555,0.079,0.776,0.879,0.044,0.076,1,2
affinity,0.096,0.049,0.969,0.974,0.972,0.977,1,2
affinity,0.456,0.328,0.969,0.974,0.143,0.12,1,2
affinity,0.555,0.079,0.627,0.923,0.031,0.053,1,2
affinity,0.108,0.059,0.959,0.974,0.962,0.977,1,2
affinity,0.443,0.316,0.959,0.974,0.143,0.091,1,2
affinity,0.778,0.12,0.664,0.909,0.005,0.029,1,2
affinity,1.865,0.937,0.958,0.974,0.04,0.941,1,2
affinity,0.53,0.377,0.958,0.974,0.095,0.059,1,2
KMeans,0.517,0.066,0.558,0.955,0.018,0.03,2,2
