,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.133,0.071,0.965,0.962,0.965,0.962,10,1
affinity,0.5,0.417,0.965,0.962,0.038,0.042,10,1
KMeans,0.087,0.012,0.763,0.875,0.231,0.238,1,2
KMeans,0.111,0.059,0.967,0.974,0.966,0.973,1,2
KMeans,0.474,0.346,0.967,0.974,0.0,0.0,1,2
KMeans,0.234,0.033,0.804,0.831,0.14,0.126,1,2
KMeans,0.089,0.048,0.975,0.974,0.976,0.975,1,2
KMeans,0.458,0.364,0.975,0.974,0.048,0.05,1,2
KMeans,0.147,0.021,0.768,0.813,0.4,0.398,1,2
KMeans,0.094,0.048,0.973,0.974,0.975,0.976,1,2
KMeans,0.496,0.386,0.973,0.974,0.095,0.091,1,2
specteral,0.234,0.033,0.772,0.856,0.276,0.275,1,2
specteral,0.094,0.05,0.973,0.974,0.973,0.975,1,2
specteral,0.413,0.322,0.973,0.974,0.048,0.045,1,2
specteral,0.538,0.077,0.755,0.873,0.212,0.225,1,2
specteral,0.101,0.054,0.969,0.974,0.97,0.975,1,2
specteral,0.406,0.297,0.969,0.974,0.048,0.04,1,2
specteral,0.564,0.08,0.753,0.9,0.037,0.069,1,2
specteral,0.106,0.057,0.964,0.974,0.966,0.976,1,2
specteral,0.436,0.297,0.964,0.974,0.095,0.069,1,2
affinity,0.546,0.078,0.844,0.879,0.11,0.109,1,2
affinity,0.096,0.05,0.973,0.974,0.973,0.975,1,2
affinity,0.36,0.275,0.973,0.974,0.048,0.045,1,2
affinity,0.494,0.071,0.744,0.887,0.043,0.071,1,2
affinity,0.101,0.053,0.968,0.974,0.97,0.976,1,2
affinity,0.426,0.321,0.968,0.974,0.095,0.077,1,2
affinity,0.778,0.12,0.657,0.879,0.006,0.033,1,2
affinity,0.121,0.063,0.963,0.974,0.962,0.973,1,2
affinity,0.573,0.453,0.963,0.974,0.0,0.0,1,2
KMeans,0.309,0.039,0.745,0.868,0.053,0.074,2,2
KMeans,0.103,0.058,0.964,0.975,0.965,0.975,2,2
KMeans,0.5,0.361,0.964,0.975,0.053,0.037,2,2
KMeans,0.362,0.045,0.796,0.855,0.105,0.124,2,2
KMeans,0.087,0.047,0.97,0.975,0.973,0.978,2,2
KMeans,0.424,0.337,0.97,0.975,0.158,0.13,2,2
KMeans,0.021,0.003,0.825,0.863,0.206,0.239,2,2
KMeans,0.085,0.046,0.971,0.975,0.974,0.978,2,2
KMeans,0.369,0.287,0.971,0.975,0.158,0.136,2,2
specteral,0.32,0.04,0.715,0.851,0.052,0.074,2,2
specteral,0.111,0.061,0.964,0.975,0.963,0.974,2,2
specteral,0.533,0.433,0.964,0.975,0.0,0.0,2,2
specteral,0.479,0.06,0.752,0.864,0.045,0.08,2,2
specteral,0.111,0.058,0.967,0.975,0.966,0.974,2,2
specteral,0.449,0.363,0.967,0.975,0.0,0.0,2,2
specteral,0.288,0.036,0.835,0.756,0.311,0.267,2,2
specteral,0.09,0.047,0.978,0.975,0.977,0.974,2,2
specteral,0.454,0.409,0.978,0.975,0.0,0.0,2,2
affinity,0.277,0.035,0.83,0.748,0.338,0.287,2,2
affinity,0.082,0.044,0.979,0.975,0.98,0.976,2,2
affinity,0.45,0.421,0.979,0.975,0.053,0.062,2,2
affinity,0.352,0.044,0.774,0.858,0.057,0.081,2,2
affinity,0.095,0.047,0.97,0.975,0.973,0.978,2,2
affinity,0.424,0.364,0.97,0.975,0.158,0.13,2,2
