,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.572,0.082,0.48,0.934,0.019,0.033,1,2
specteral,0.153,0.082,0.931,0.974,0.936,0.979,1,2
specteral,0.982,0.442,0.931,0.974,0.238,0.089,1,2
specteral,0.711,0.114,0.54,0.972,0.004,0.015,1,2
specteral,0.163,0.093,0.92,0.974,0.924,0.979,1,2
specteral,1.166,0.435,0.92,0.974,0.238,0.077,1,2
specteral,0.612,0.092,0.627,0.959,0.016,0.019,1,2
specteral,1.818,0.927,0.934,0.974,0.058,0.852,1,2
specteral,0.927,0.369,0.934,0.974,0.381,0.148,1,2
affinity,0.538,0.077,0.743,0.916,0.038,0.068,1,2
affinity,0.089,0.049,0.964,0.974,0.97,0.98,1,2
affinity,0.433,0.296,0.964,0.974,0.238,0.172,1,2
affinity,0.746,0.119,0.648,0.93,0.007,0.03,1,2
affinity,0.106,0.057,0.959,0.974,0.963,0.978,1,2
affinity,0.49,0.387,0.959,0.974,0.19,0.121,1,2
affinity,0.778,0.12,0.685,0.95,0.005,0.029,1,2
affinity,1.862,0.943,0.957,0.974,0.038,0.857,1,2
affinity,0.467,0.319,0.957,0.974,0.238,0.143,1,2
KMeans,0.479,0.06,0.704,0.962,0.026,0.044,2,2
KMeans,0.114,0.063,0.946,0.975,0.953,0.982,2,2
KMeans,0.654,0.292,0.946,0.975,0.316,0.146,2,2
KMeans,0.32,0.04,0.723,0.946,0.042,0.06,2,2
KMeans,0.1,0.054,0.955,0.975,0.962,0.982,2,2
KMeans,0.585,0.33,0.955,0.975,0.316,0.176,2,2
KMeans,0.501,0.062,0.686,0.949,0.028,0.047,2,2
KMeans,1.847,0.937,0.949,0.975,0.046,0.872,2,2
KMeans,0.679,0.348,0.949,0.975,0.263,0.128,2,2
specteral,0.501,0.062,0.592,0.923,0.019,0.034,2,2
specteral,0.156,0.091,0.926,0.975,0.928,0.977,2,2
specteral,1.16,0.403,0.926,0.975,0.158,0.054,2,2
specteral,0.511,0.064,0.611,0.943,0.023,0.037,2,2
specteral,0.135,0.077,0.938,0.975,0.942,0.979,2,2
specteral,0.898,0.364,0.938,0.975,0.211,0.085,2,2
specteral,0.522,0.066,0.504,0.938,0.015,0.025,2,2
specteral,1.786,0.901,0.918,0.975,0.08,0.952,2,2
specteral,1.299,0.403,0.918,0.975,0.158,0.048,2,2
affinity,0.309,0.039,0.747,0.905,0.056,0.078,2,2
affinity,0.085,0.046,0.966,0.975,0.972,0.981,2,2
affinity,0.398,0.322,0.966,0.975,0.263,0.192,2,2
affinity,0.69,0.094,0.695,0.938,0.005,0.03,2,2
affinity,0.119,0.063,0.956,0.975,0.958,0.977,2,2
