,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.593,0.428,0.967,0.978,0.158,0.103,9,1
KMeans,0.147,0.006,0.809,0.722,0.134,0.163,10,1
KMeans,0.13,0.071,0.962,0.962,0.963,0.963,10,1
KMeans,0.521,0.403,0.962,0.962,0.077,0.077,10,1
KMeans,0.45,0.02,0.824,0.793,0.198,0.183,10,1
KMeans,0.104,0.056,0.962,0.962,0.971,0.971,10,1
KMeans,0.389,0.266,0.962,0.962,0.269,0.269,10,1
specteral,0.578,0.064,0.852,0.451,0.041,0.047,10,1
specteral,0.133,0.071,0.962,0.962,0.963,0.963,10,1
specteral,0.747,0.444,0.962,0.962,0.077,0.077,10,1
specteral,0.639,0.05,0.786,0.699,0.003,0.028,10,1
specteral,0.151,0.083,0.947,0.962,0.949,0.964,10,1
specteral,0.685,0.406,0.947,0.962,0.115,0.083,10,1
affinity,0.589,0.063,0.84,0.594,0.04,0.049,10,1
affinity,0.139,0.074,0.962,0.962,0.962,0.962,10,1
affinity,0.542,0.335,0.962,0.962,0.038,0.038,10,1
affinity,0.589,0.063,0.852,0.622,0.04,0.043,10,1
affinity,0.124,0.068,0.965,0.962,0.966,0.963,10,1
affinity,0.482,0.334,0.965,0.962,0.077,0.083,10,1
KMeans,0.602,0.089,0.786,0.749,0.087,0.057,1,2
KMeans,0.089,0.048,0.973,0.974,0.975,0.976,1,2
KMeans,0.529,0.357,0.973,0.974,0.095,0.091,1,2
KMeans,0.364,0.052,0.758,0.831,0.056,0.08,1,2
KMeans,0.079,0.043,0.97,0.974,0.976,0.98,1,2
KMeans,0.456,0.353,0.97,0.974,0.238,0.208,1,2
specteral,0.643,0.103,0.856,0.401,0.004,0.043,1,2
specteral,0.106,0.054,0.972,0.974,0.971,0.973,1,2
specteral,0.805,0.429,0.972,0.974,0.0,0.0,1,2
specteral,0.716,0.114,0.827,0.455,0.005,0.038,1,2
specteral,0.101,0.053,0.968,0.974,0.97,0.976,1,2
specteral,0.817,0.415,0.968,0.974,0.095,0.077,1,2
